female,black,hispanic,bytest,dadcoll,momcoll,ownhome,urban,cue80,stwmfg80,dist,tuition,ed,incomehi
0,0,0,57.7,1,0,1,0,4.6,11.37,5,0.61547,12,0
0,0,0,46.94,0,0,0,0,4.6,11.37,5,0.61547,12,0
0,0,0,37.2,0,0,1,0,16.3,8.41,2.5,0.69284,13,0
0,0,0,41.37,0,0,0,0,16.3,8.41,2.5,0.69284,13,0
1,0,0,32.76,0,0,1,0,16.3,8.41,2.5,0.69284,13,0
0,0,0,54.89,0,0,0,0,16.3,8.41,2.5,0.69284,14,0
1,0,0,34.78,0,0,1,0,16.3,8.41,2.5,0.69284,13,0
1,0,0,38.1,0,0,1,0,16.3,8.41,2.5,0.69284,14,0
1,0,0,62.33,1,0,1,0,5.9,8.32,9,0.49538,14,1
0,0,0,46.94,1,0,1,0,5.9,8.32,9,0.49538,13,1
0,0,1,41.54,0,0,1,0,5.9,8.32,9,0.49538,12,0
1,0,0,61.45,0,0,1,0,5.9,8.32,9,0.49538,13,1
0,0,1,42.83,0,0,1,0,5.9,8.32,9,0.49538,13,0
0,0,0,45.8,0,0,1,0,5.9,8.32,9,0.49538,12,1
1,0,0,40.32,0,0,1,0,7.7,9.55,6.5,0.806,12,0
0,0,0,60.32,1,0,1,0,7.7,9.55,6.5,0.806,17,0
0,0,0,38.02,0,0,0,0,7.7,9.55,6.5,0.806,12,1
0,0,0,63.92,0,0,1,0,7.7,9.55,6.5,0.806,12,0
1,0,0,61.25,0,0,1,0,7.7,9.55,6.5,0.806,12,0
1,0,0,43.98,0,0,1,0,7.7,9.55,6.5,0.806,15,0
1,0,0,44.05,0,0,1,0,7.7,9.55,6.5,0.806,13,0
1,0,0,47.27,0,0,1,0,7.7,9.55,6.5,0.806,13,0
0,0,0,46.46,0,0,1,0,7.7,9.55,6.5,0.806,12,0
1,0,0,39.21,0,0,1,0,7.7,9.55,6.5,0.806,13,0
1,0,1,52.42,0,0,1,0,7.7,9.55,6.5,0.806,12,0
0,0,0,51.75,0,0,0,0,7.7,9.55,6.5,0.806,14,0
0,0,0,45.83,0,0,1,0,7.7,9.55,6.5,0.806,12,0
1,0,0,50.77,0,0,0,0,6.8,10.15,0.8,0.83141,12,0
1,1,0,39.41,0,0,1,0,6.8,10.15,0.8,0.83141,13,0
1,0,1,46.56,0,0,0,0,6.8,10.15,0.8,0.83141,12,0
0,0,0,50.99,0,0,1,0,6.8,10.15,0.8,0.83141,17,0
0,0,0,40.77,0,0,1,0,6.8,10.15,0.8,0.83141,12,0
1,0,0,45.74,0,0,0,0,6.8,10.15,0.8,0.83141,12,0
1,0,0,49.18,0,0,1,0,8.2,9.55,2,0.806,13,0
1,0,0,51.98,0,0,1,0,6.8,11.37,0.2,0.61547,12,0
1,0,0,45.96,0,1,1,0,6.8,11.37,0.2,0.61547,14,0
0,0,0,50.15,0,0,1,0,6.8,11.37,0.2,0.61547,14,0
1,0,0,53.24,1,0,1,0,6.8,11.37,0.2,0.61547,16,1
0,0,0,64.43,0,0,1,0,6.8,11.37,0.2,0.61547,17,0
1,0,1,44.1,0,0,1,0,11.9,8.41,16,0.69284,12,0
1,0,1,48.16,0,0,1,0,11.9,8.41,16,0.69284,14,1
1,0,0,45.1,1,1,0,0,11.9,8.41,16,0.69284,12,0
0,0,1,41.2,0,0,0,0,11.9,8.41,16,0.69284,12,0
0,0,0,47.61,0,0,1,0,11.9,8.41,16,0.69284,12,0
0,0,0,62.26,0,1,1,0,11.9,8.41,16,0.69284,16,1
1,0,0,44.73,0,0,1,0,11.9,8.41,16,0.69284,12,0
1,0,0,46.09,0,0,0,0,11.9,8.41,16,0.69284,12,1
0,0,0,49.27,0,1,1,0,5.5,11.56,2.5,1.07737,16,1
0,0,0,45.11,0,0,1,0,5.5,11.56,2.5,1.07737,13,1
1,0,0,72.81,0,1,1,0,5.5,11.56,2.5,1.07737,12,0
1,0,0,39.17,0,0,1,0,5.5,11.56,2.5,1.07737,12,0
1,0,0,57.21,1,0,1,0,5.5,11.56,2.5,1.07737,16,1
0,0,0,59.16,0,0,1,0,5.5,11.56,2.5,1.07737,12,0
1,0,0,54.64,0,1,1,0,8,12.96,1,0.71363,15,0
1,0,0,64.88,0,0,1,0,8,12.96,1,0.71363,18,0
1,0,0,51.85,0,0,1,0,8,12.96,1,0.71363,13,0
0,0,0,46.14,0,0,0,0,8,12.96,1,0.71363,12,0
1,0,0,36.08,0,0,1,0,8,12.96,1,0.71363,13,0
0,0,0,62.47,0,0,1,0,8,12.96,1,0.71363,16,0
0,0,0,44.64,0,0,1,0,5.5,11.56,3,1.07737,12,0
1,0,0,40.53,1,0,1,0,5.5,11.56,3,1.07737,12,0
1,0,0,37.75,0,0,0,0,5.5,11.56,3,1.07737,12,1
1,0,0,41.8,0,0,0,0,5.5,11.56,3,1.07737,12,0
0,0,0,48.56,0,0,1,1,8.1,12.96,0.8,0.71363,12,0
0,0,0,67.57,1,1,1,1,8.1,12.96,0.8,0.71363,16,1
0,0,0,44.48,0,0,1,1,8.1,12.96,0.8,0.71363,14,1
0,0,0,62.59,0,0,1,1,8.1,12.96,0.8,0.71363,12,0
0,0,0,56.87,1,0,1,1,8.1,12.96,0.8,0.71363,15,1
1,0,0,34,0,0,1,1,8.1,12.96,0.8,0.71363,14,0
1,0,0,41.29,0,1,1,0,6.1,12.96,1.2,0.71363,12,0
1,0,0,60.49,1,1,1,0,6.1,12.96,1.2,0.71363,16,0
1,0,0,65.92,0,1,1,0,6.1,12.96,3.5,0.71363,16,1
0,0,0,61.42,1,0,1,0,6.1,12.96,3.5,0.71363,16,1
1,0,0,48.09,0,0,1,0,8,12.96,0.5,0.71363,14,1
1,0,0,54.75,0,0,1,0,8,12.96,0.5,0.71363,16,0
1,0,0,53.63,0,0,1,0,8,12.96,0.5,0.71363,14,1
1,0,0,59.51,0,0,1,0,8,12.96,0.5,0.71363,13,0
1,0,0,51.25,0,0,1,1,8,12.96,0.6,0.71363,12,0
1,0,0,61.1,0,0,1,0,7,11.56,1,1.07737,15,0
0,0,0,42.51,0,0,1,0,7,11.56,1,1.07737,16,0
0,0,0,63.11,0,0,1,0,7,11.56,1,1.07737,12,0
0,0,0,62.24,0,0,1,0,5.5,11.56,1.5,1.07737,17,0
1,0,0,47.05,0,0,0,0,5.5,11.56,1.5,1.07737,14,0
1,0,0,54.48,0,0,1,0,5.5,11.56,1.5,1.07737,14,1
1,0,0,58.84,0,0,1,0,5.5,11.56,1.5,1.07737,13,1
0,0,0,41.64,0,0,0,0,5.5,11.56,1.5,1.07737,12,0
0,0,0,66.83,0,0,1,0,12.4,11.56,9,1.07737,14,0
0,0,0,39.85,0,0,1,0,12.4,11.56,9,1.07737,12,1
1,0,0,46.28,0,1,1,0,12.4,11.56,9,1.07737,16,0
1,0,0,59.39,0,0,1,0,12.4,11.56,9,1.07737,16,0
1,0,0,42.57,0,0,1,0,12.4,11.56,9,1.07737,13,0
0,0,0,57.83,0,0,1,0,12.4,11.56,9,1.07737,12,0
0,0,0,46.14,0,0,1,0,12.4,11.56,9,1.07737,12,0
1,0,0,55.7,0,0,1,0,12.4,11.56,9,1.07737,12,1
1,0,0,41.88,0,0,1,0,12.4,11.56,9,1.07737,15,0
1,0,0,37.03,0,0,0,0,13.8,12.96,5,0.71363,12,0
1,0,0,44.44,0,0,1,0,13.8,12.96,5,0.71363,12,1
0,0,0,64.6,1,0,1,0,13.8,12.96,5,0.71363,17,1
0,1,0,58.93,1,1,1,1,7,11.56,0.7,1.07737,16,1
0,0,0,61.91,0,0,1,1,7,11.56,0.7,1.07737,12,1
1,0,0,59.47,1,1,1,1,7,11.56,0.7,1.07737,17,0
1,0,0,59.6,1,1,1,1,7,11.56,0.7,1.07737,16,1
1,0,0,53.9,0,0,1,1,7,11.56,0.7,1.07737,14,0
1,0,0,38.35,0,0,1,0,10.2,12.96,0.8,0.71363,12,0
1,0,0,47.21,1,0,1,0,7.2,12.96,1,0.71363,14,0
1,0,0,49.73,0,0,1,0,7.2,12.96,1,0.71363,12,1
1,0,0,44.18,0,0,1,0,7.2,12.96,1,0.71363,12,0
0,0,0,59.55,0,0,0,0,7.2,12.96,1,0.71363,12,0
0,0,0,48.11,0,0,0,0,7.2,12.96,1,0.71363,12,0
1,0,0,49.47,0,0,1,0,10.9,11.56,2,1.07737,16,1
0,0,0,45.9,0,0,1,0,10.9,11.56,2,1.07737,12,0
0,0,0,46.78,1,0,1,0,6.1,12.96,4,0.71363,13,1
0,0,0,50.58,1,0,0,0,6.1,12.96,4,0.71363,12,0
1,0,0,52.58,0,0,1,0,6.1,12.96,4,0.71363,13,1
1,0,0,43.4,1,1,1,0,6.1,12.96,4,0.71363,14,0
0,0,0,62.57,0,0,1,0,6.1,12.96,4,0.71363,15,1
1,0,0,57.6,1,0,0,0,6.1,12.96,4,0.71363,12,0
1,0,0,47.83,1,0,1,0,6.1,12.96,4,0.71363,12,0
0,0,0,45.56,0,0,1,0,6.1,12.96,4,0.71363,12,0
1,0,0,45.22,1,0,1,0,7.6,11.56,8,1.07737,12,0
1,0,0,43.14,0,0,0,0,7.6,11.56,8,1.07737,12,0
0,0,0,61.48,0,0,1,0,7.6,11.56,8,1.07737,16,0
0,0,0,52.06,0,0,1,0,7.6,11.56,8,1.07737,12,0
0,0,0,57.61,0,0,0,0,7.6,11.56,8,1.07737,17,0
1,0,0,58.93,1,1,1,0,7.6,12.96,1.4,0.71363,16,0
1,0,0,57.53,0,0,1,0,7.6,12.96,1.4,0.71363,12,0
0,0,0,59.96,0,0,1,0,7.6,12.96,1.4,0.71363,16,0
1,0,0,53.55,0,0,0,0,7.6,12.96,1.4,0.71363,14,0
1,0,0,50.87,0,0,1,0,7.6,12.96,1.4,0.71363,13,0
1,0,0,58.65,0,0,1,0,7.6,12.96,1.4,0.71363,13,1
0,0,0,45.77,0,0,1,0,10.7,11.56,5.5,1.07737,12,0
0,0,0,51.76,0,0,1,1,6.3,8.89,0.2,0.25751,16,0
0,0,0,45.52,0,0,0,1,6.3,8.89,0.2,0.25751,16,0
1,0,0,46.87,0,0,1,1,6.3,8.89,0.2,0.25751,16,0
1,0,0,58.24,0,0,1,1,6.3,8.89,0.2,0.25751,15,0
0,0,0,53.25,1,1,1,1,6.3,8.89,0.2,0.25751,18,0
1,0,0,56,0,0,1,1,6.3,8.89,0.2,0.25751,18,0
0,0,0,57.38,0,0,1,1,6.3,8.89,0.2,0.25751,16,0
0,0,0,55.19,0,0,1,1,6.3,8.89,0.2,0.25751,14,0
0,0,0,58.02,0,0,1,1,6.6,8.89,0.6,0.25751,17,0
0,0,0,37.83,1,0,1,1,6.6,8.89,0.6,0.25751,14,1
1,0,0,47.94,1,0,1,1,6.6,8.89,0.6,0.25751,12,0
1,1,0,42.79,0,0,0,1,7.2,8.89,0.2,0.25751,12,0
1,0,0,39.79,0,0,0,1,7.2,8.89,0.2,0.25751,15,0
0,0,1,43.64,0,0,1,1,7.2,8.89,0.2,0.25751,13,0
0,0,0,49.55,0,0,1,1,7.2,8.89,0.2,0.25751,12,0
1,0,0,60.57,0,0,1,1,7.2,8.89,0.2,0.25751,12,0
0,0,0,59.89,1,1,1,1,6.6,8.89,0.5,0.25751,13,0
0,0,0,64.22,0,0,1,1,6.6,8.89,0.5,0.25751,14,1
0,0,0,58.82,1,1,1,1,6.6,8.89,0.5,0.25751,16,1
0,0,0,70.7,0,0,1,1,6.6,8.89,0.5,0.25751,17,0
1,1,0,43.9,0,0,1,1,6.6,8.89,0.5,0.25751,13,0
1,0,0,54.21,1,0,0,1,6.8,8.89,0.2,0.25751,16,0
0,0,1,45.31,0,0,1,1,6.8,8.89,0.2,0.25751,12,1
1,0,1,49.06,0,0,1,1,6.8,8.89,0.2,0.25751,15,0
1,1,0,36.61,0,0,1,1,6.8,8.89,0.2,0.25751,12,1
0,0,0,57.52,0,0,0,1,6.8,8.89,0.2,0.25751,14,0
1,0,0,57.25,0,0,1,1,6.8,8.89,0.2,0.25751,13,0
1,0,0,53.68,0,0,1,1,6.8,8.89,0.2,0.25751,13,0
0,0,0,51.05,1,1,1,1,6.8,8.89,0.2,0.25751,16,1
1,0,0,63.19,1,0,0,1,6.8,8.89,0.2,0.25751,12,0
1,0,0,48.48,0,0,1,1,6.8,8.89,0.2,0.25751,16,0
0,0,1,36.95,0,0,0,1,6.8,8.89,0.2,0.25751,12,0
1,0,1,39.99,1,1,1,1,6.6,8.89,0.1,0.25751,14,1
1,0,0,52.89,1,0,1,1,6.6,8.89,0.1,0.25751,15,0
0,0,0,47.86,0,0,1,1,6.6,8.89,0.1,0.25751,12,0
0,0,0,49.22,1,0,1,1,6.6,8.89,0.1,0.25751,15,1
1,0,0,49.07,1,0,1,1,6.6,8.89,0.1,0.25751,14,1
1,0,0,55.5,0,0,1,1,6.6,8.89,0.1,0.25751,12,0
0,0,0,49.74,0,0,1,1,6.6,8.89,0.1,0.25751,15,0
0,0,1,43.66,0,0,1,1,6.6,8.89,0.1,0.25751,12,0
1,0,0,52.55,1,1,1,1,6.8,8.89,0.8,0.25751,16,1
0,0,0,55.31,0,0,1,1,6.8,8.89,0.8,0.25751,13,1
1,0,0,49.91,0,0,1,1,6.8,8.89,0.8,0.25751,14,0
0,0,0,59.33,1,0,1,1,6.8,8.89,0.8,0.25751,17,1
1,0,0,58.17,0,0,0,1,6.8,8.89,0.8,0.25751,14,0
1,0,0,47.45,0,0,1,1,6.8,8.89,0.8,0.25751,12,0
0,0,0,58.6,1,0,1,1,6.8,8.89,0.8,0.25751,14,0
0,0,1,58,1,0,1,1,6.6,8.89,1,0.25751,17,1
0,1,0,57.19,0,1,0,1,6.6,8.89,1,0.25751,13,1
1,0,1,52.84,0,0,0,1,6.6,8.89,1,0.25751,15,0
1,1,0,43.35,0,0,0,1,6.6,8.89,1,0.25751,12,0
0,0,1,49.27,0,0,1,1,6.6,8.89,0.3,0.25751,13,0
1,0,0,50.15,0,0,1,1,6.6,8.89,0.3,0.25751,15,0
1,0,1,45.71,0,0,0,1,6.6,8.89,0.3,0.25751,12,0
1,1,0,35.27,0,0,1,1,8.2,8.89,0.3,0.25751,12,1
1,0,0,53.17,1,1,1,1,8.2,8.89,0.3,0.25751,17,1
1,0,0,63.07,1,0,1,1,8.2,8.89,0.3,0.25751,16,1
1,0,1,45.5,0,0,1,1,8.2,8.89,0.3,0.25751,12,0
0,0,0,61.53,0,0,1,1,8.2,8.89,0.3,0.25751,17,0
1,0,0,45.32,0,0,1,1,8.2,8.89,0.3,0.25751,12,0
0,0,0,66.35,1,0,1,1,8.2,8.89,0.3,0.25751,16,0
1,0,0,60.94,1,0,1,1,8.2,8.89,0.3,0.25751,16,1
1,0,1,47.84,0,0,1,1,8.2,8.89,0.3,0.25751,12,0
1,0,0,58.66,1,0,1,1,8.2,8.89,0.3,0.25751,16,1
1,0,0,59.1,1,1,1,1,8.2,8.89,0.3,0.25751,16,0
0,0,0,60.41,1,1,1,1,8.2,8.89,0.3,0.25751,17,1
1,0,0,46.21,0,0,1,1,4.3,8.89,1,0.25751,13,0
1,0,0,51.61,0,0,1,1,4.3,8.89,1,0.25751,12,0
0,0,0,51.85,1,0,1,1,4.3,8.89,1,0.25751,15,1
0,0,1,51.39,0,0,1,1,4.3,8.89,1,0.25751,15,1
0,0,0,56.84,0,0,0,0,6.8,8.89,0.4,0.25751,12,0
1,0,1,46.94,0,0,1,0,6.8,8.89,0.4,0.25751,12,0
0,0,0,41.45,0,0,0,0,6.8,8.89,0.4,0.25751,12,0
1,0,1,51.24,0,0,1,0,6.8,8.89,0.4,0.25751,13,0
1,0,1,50.47,0,0,1,0,6.8,8.89,0.4,0.25751,12,0
1,0,0,48.82,1,0,1,0,6.8,8.89,0.4,0.25751,17,0
1,0,0,53.26,0,1,1,0,4.3,8.89,0,0.25751,16,1
0,0,0,55.54,0,0,1,0,4.3,8.89,0,0.25751,13,0
0,1,0,62.85,1,0,0,0,4.3,8.89,0,0.25751,14,1
1,0,0,57.46,1,1,1,0,4.3,8.89,0,0.25751,15,1
0,0,0,48.7,0,0,1,0,4.3,8.89,0,0.25751,14,1
1,0,0,61.26,1,0,1,0,4.3,8.89,0,0.25751,16,1
1,0,0,51.45,1,0,1,0,4.3,8.89,0,0.25751,14,0
0,0,1,37.71,0,0,1,0,4.3,8.89,0,0.25751,13,0
0,0,0,46.99,1,0,1,0,4.3,8.89,0,0.25751,15,1
0,1,0,51.34,0,1,1,0,4.3,8.89,0,0.25751,14,0
0,0,0,53.6,1,0,1,0,5.1,8.89,1.5,0.25751,14,1
0,0,0,48.97,1,0,1,0,5.1,8.89,1.5,0.25751,16,1
0,0,0,45.47,0,0,0,0,5.1,8.89,1.5,0.25751,13,0
0,0,1,63.05,0,0,1,0,7.7,8.89,1,0.25751,14,1
1,0,0,61.15,0,0,1,0,7.7,8.89,1,0.25751,16,0
1,0,0,40.3,1,1,1,0,7.7,8.89,1,0.25751,15,0
1,0,0,67.58,0,0,1,0,7.7,8.89,1,0.25751,16,0
0,0,0,58.55,0,0,1,0,4.3,8.89,1.2,0.25751,15,1
1,0,0,44.85,0,0,1,0,4.3,8.89,1.2,0.25751,16,1
1,0,0,47.46,1,1,1,0,4.3,8.89,1.2,0.25751,15,0
1,0,0,55.95,1,0,1,0,4.3,8.89,1.2,0.25751,13,1
1,0,0,45.68,0,0,1,0,4.3,8.89,0.1,0.25751,12,0
0,0,0,43.64,0,0,0,0,4.3,8.89,0.1,0.25751,12,0
0,0,0,40.55,0,0,1,0,4.3,8.89,0.1,0.25751,12,0
1,0,0,50.73,1,0,1,0,4.3,8.89,0.1,0.25751,13,0
1,0,1,33.93,0,0,1,0,4.3,8.89,0.1,0.25751,12,0
1,0,0,52.65,1,0,1,0,4.3,8.89,0.1,0.25751,13,1
0,0,0,61.31,1,0,1,0,4.3,8.89,0.1,0.25751,12,1
1,0,0,44.27,0,0,0,0,8.2,8.89,3.5,0.25751,12,0
0,0,0,53.73,0,0,0,0,8.2,8.89,3.5,0.25751,16,1
1,0,1,48.25,0,0,1,0,8.2,8.89,3.5,0.25751,13,0
1,0,0,70.56,1,1,1,0,8.2,8.89,3.5,0.25751,17,1
0,0,0,58.82,0,0,0,0,8.2,8.89,3.5,0.25751,12,0
1,0,0,47.32,1,0,1,0,8.2,8.89,3.5,0.25751,12,0
0,0,1,61.26,0,0,1,0,8.2,8.89,3.5,0.25751,16,1
1,0,1,56.5,0,0,1,0,8.2,8.89,3.5,0.25751,14,0
1,0,1,46.45,0,0,0,0,8.2,8.89,3.5,0.25751,13,1
0,0,0,70.56,0,0,1,0,8.2,8.89,3.5,0.25751,17,1
0,0,0,50.15,0,0,1,0,5.1,8.89,1,0.25751,13,1
1,0,0,63.35,0,1,1,0,5.1,8.89,1,0.25751,15,0
1,0,0,53.8,0,1,0,0,5.1,8.89,1,0.25751,14,0
1,0,0,49.19,0,0,1,0,5.1,8.89,1,0.25751,12,0
1,0,1,44.68,1,0,1,0,6.6,8.89,0.6,0.25751,15,0
0,0,1,39.39,0,0,1,0,6.6,8.89,1,0.25751,12,0
0,0,0,48.74,1,0,1,0,6.6,8.89,1,0.25751,15,1
0,0,0,45.85,0,0,1,0,6.6,8.89,1,0.25751,13,1
0,0,0,45.21,1,0,1,0,6.6,8.89,1,0.25751,13,1
1,0,0,58.67,0,0,0,0,6.6,8.89,1,0.25751,16,0
1,0,0,41.9,1,0,1,0,6.8,8.89,1.5,0.25751,12,1
0,0,0,64.17,0,0,0,0,6.8,8.89,1.5,0.25751,12,0
1,0,1,42.18,0,0,1,0,6.8,8.89,1.5,0.25751,12,0
1,0,0,56.99,0,0,1,0,6.8,8.89,1.5,0.25751,12,0
0,0,0,40.32,0,0,1,0,6.8,8.89,1.5,0.25751,12,0
1,0,0,48.71,0,0,1,0,7.7,8.89,1.8,0.25751,13,0
1,0,0,47.41,0,0,1,0,7.7,8.89,1.8,0.25751,12,0
0,0,1,49.63,0,0,1,0,7.7,8.89,1.8,0.25751,13,1
1,0,0,61.57,0,0,1,0,7.7,8.89,1.8,0.25751,13,1
1,0,0,46.7,0,0,1,0,7.7,8.89,1,0.25751,12,0
0,0,1,51.72,0,0,1,0,7.7,8.89,1,0.25751,12,0
1,0,0,57.03,0,0,1,0,7.7,8.89,1,0.25751,16,0
0,0,0,41.09,0,0,1,0,7.7,8.89,1,0.25751,12,1
1,1,0,50.28,0,0,1,0,7.7,8.89,1,0.25751,13,0
1,0,0,63.79,0,0,0,0,7.7,8.89,1,0.25751,14,0
0,0,1,43.27,0,0,1,0,6.6,8.89,0.8,0.25751,12,0
1,0,0,62.23,0,0,1,0,6.6,8.89,0.8,0.25751,13,0
1,0,1,50.46,0,0,1,0,6.6,8.89,0.8,0.25751,12,0
0,0,1,46.64,0,0,1,0,6.6,8.89,0.8,0.25751,17,0
0,0,0,33.52,0,1,1,0,6.6,8.89,0.8,0.25751,12,0
0,0,1,42.24,0,0,1,0,6.6,8.89,0.8,0.25751,14,1
0,0,0,49.02,0,1,1,0,6.6,8.89,0.8,0.25751,12,1
1,0,0,53.74,0,0,1,0,6.8,8.89,2,0.25751,17,0
1,0,0,44.36,0,0,1,0,6.8,8.89,2,0.25751,12,0
1,0,1,42.7,0,0,1,0,6.8,8.89,2,0.25751,12,1
1,0,0,37.95,0,0,0,0,6.8,8.89,2,0.25751,12,0
1,0,1,39.57,0,0,0,0,6.8,8.89,2,0.25751,12,0
0,0,0,59.69,0,0,0,0,6.8,8.89,2,0.25751,15,0
1,0,1,40.31,0,0,1,0,6.8,8.89,2,0.25751,15,0
1,0,1,47.85,0,0,1,0,6.8,8.89,2,0.25751,12,0
0,0,1,45.48,0,0,1,0,6.8,8.89,2,0.25751,13,0
1,0,0,55.77,0,0,1,0,3.9,8.89,2,0.25751,12,1
1,0,0,56.61,1,1,1,0,3.9,8.89,2,0.25751,15,1
1,0,0,48.55,0,0,1,0,3.9,8.89,2,0.25751,12,1
1,0,0,48.91,0,0,1,0,3.9,8.89,2,0.25751,15,0
1,0,0,56.14,0,0,1,0,6.8,8.89,0.5,0.25751,16,1
0,0,0,59.79,1,1,1,0,6.8,8.89,0.5,0.25751,13,1
1,0,0,56.74,1,1,1,0,6.8,8.89,0.5,0.25751,16,0
1,1,0,43.74,1,0,1,0,6.8,8.89,0.5,0.25751,13,0
0,0,0,57.52,0,0,1,0,6.8,8.89,0.5,0.25751,16,1
0,0,0,44.86,0,0,1,0,6.8,8.89,0.5,0.25751,16,1
0,0,0,60.51,1,0,1,0,6.8,8.89,0.5,0.25751,15,0
