arrests_ever_num,incarc_totmonths,favorite_icecream,optimistic_future,cigarette_ever,age_first_smoke,alcohol_ever,age_first_alcohol,race,age_bio_mom_birth,hh_income_1997,hh_net_worth_1997,highgrade_bio_dad,highgrade_bio_mom,highgrade_res_dad,highgrade_res_mom,race_ethnicity,depressed_lastmo,age,region,citizen,income_family,hh_pov_ratio,num_hh_under_18,num_hh_under_6,marrstat,marrstat_collapsed,msa,num_bio_child_hh,num_bio_child_nonres,religion,had_income_lastyr,wage_sal,spouse_hadjob,spouse_wage_sal,internet,weight,pray_daily,religion_import,smoke_days_lastmo,cigs_perday,drank_yesno,days_drank_lastmo,drinks_perday,drink5plus_days,marijuana,marijuana_days_lastmo,hard_drugs,hard_drugs_num,sex_num_lastmo,health,computer_hours_perweek,tv_hours_perweek,sleep_hours_pernight,drive_drink_lastmo,health_insure,wkswk_yr,hours_wk_yr,year_first_marry,highgrade_comp,highest_degree,hh_net_worth_age30,cohab_totalnum,marriages_totalnum,female,asvab_test_pct,est_wage_sal,est_spouse_wage_sal,height_inch,partner_same_sex
"0",0,"Butter Pecan","STRONGLY AGREE","Yes",11,"Yes",12,"Something else? (SPECIFY)",22,25000,17500,12,14,,14,"Hispanic","Most of the time",29,"Northeast","Citizen, born in the U.S.",34500,236,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",0,1,"None, no religion - personal philosophy","YES",17000,,,"YES",176,"FALSE","Not very important",25,5,"YES",20,4,20,"NO",,"NO",,1,"Fair","10 hours or more a week","3 to 10 hours a week",4,"0 times","YES",23,483,,15,"High school diploma (Regular 12 year program)",,0,0,1,30.583,17000,,64,
"0",0,"Vanilla",,"No",,"No",,"Something else? (SPECIFY)",22,"0",17500,,12,12,12,"Hispanic","None of the time",29,"Northeast","Citizen, born in the U.S.",143000,837,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"Pentecostal","YES",68000,,,"YES",270,,"Somewhat important",,,"YES",1,2,"0","NO",,"NO",,20,"Fair","10 hours or more a week","More than 40 hours a week",5,"0 times","YES",39,2652,,13,"GED",91300,1,0,0,-.004,68000,,66,
3,0,"Chocolate","AGREE","No",,"No",,"Something else? (SPECIFY)",26,,,,6,,6,"Hispanic","Some of the time",26,"Northeast","Citizen, born in the U.S.",17750,121,0,0,"Never married, cohabiting","Never-married","In CBSA, in central city",,,"Roman Catholic","YES",,"YES",,"YES",147,"FALSE","Not very important",,,"YES",5,2,"0","NO",,"NO",,,"Very good","10 hours or more a week","11 to 20 hours a week",8,"0 times","YES",39,1170,,10,"None",,2,0,0,67.533,,,65,1
"0",0,"Chocolate",,"No",,"No",,"Something else? (SPECIFY)",31,"0",17500,12,12,12,12,"Hispanic",,31,"Northeast","Citizen, born in the U.S.",13036,89,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",0,1,"Roman Catholic","NO",,,,"NO",,,,,,"NO",,,,"NO",,"NO",,,"Good","4 to 6 hours a week","11 to 20 hours a week",8,"0 times","NO","0: weeks","0",,11,"GED",17500,0,0,0,-.005,,,67,
"0",0,"Chocolate","AGREE","No",,"No",,"Something else? (SPECIFY)",21,,,13,12,13,12,"Hispanic","Some of the time",28,"Northeast","Citizen, born in the U.S.",187000,1094,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"Roman Catholic","YES",12000,,,"YES",90,"TRUE","Extremely important",,,"YES",1,2,"0","NO",,"NO",,0,"Excellent","4 to 6 hours a week","21 to 30 hours a week",8,"I DID NOT DRIVE IN THE PAST 30 DAYS","NO",50,1350,,14,"High school diploma (Regular 12 year program)",,0,0,1,26.024,12000,,59,
4,0,"Strawberry","AGREE","Yes",14,"Yes",12,"Something else? (SPECIFY)",34,13000,17500,10,11,,11,"Hispanic","All of the time",29,"Northeast","Citizen, born in the U.S.",,,0,0,"Never married, cohabiting","Never-married","In CBSA, in central city",0,1,"Roman Catholic","YES",20000,,,"NO",189,"TRUE","Extremely important",10,10,"YES","30",30,1,"YES",,"YES",,,"Very good","7 to 9 hours a week","31 to 40 hours a week",,"I DID NOT DRIVE IN THE PAST 30 DAYS","NO","0: weeks","0",,16,"Associate/Junior college (AA)",,2,0,0,44.451,20000,,78,0
"0",0,"Butter Pecan",,"Yes",13,"No",,"Something else? (SPECIFY)",17,3750,7500,,14,10,14,"Hispanic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"GED",,1,0,1,30.811,,,,
7,0,"Strawberry","DISAGREE","No",,"Yes",12,"Black or African American",23,"0",3750,10,15,,15,"Black","None of the time",29,"Northeast","Citizen, born in the U.S.",35000,199,1,0,"Never married, cohabiting","Never-married","In CBSA, in central city",1,1,"Baptist","NO",,"YES",35000,"YES",135,"TRUE","Extremely important","30",15,"YES",3,1,"0","NO",,"NO",,8,"Excellent","4 to 6 hours a week","11 to 20 hours a week",8,"0 times","NO","0: weeks","0",,13,"GED",,3,0,0,9.339,,35000,68,0
1,18,"Chocolate","STRONGLY AGREE","No",,"No",,"Black or African American",26,"0",3750,10,15,,15,"Black","None of the time",27,"Northeast","Citizen, born in the U.S.",66000,375,1,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",0,1,"Baptist","YES",20000,,,"YES",175,"FALSE","Very important","30",4,"YES",5,5,5,"NO",,"NO",,20,"Very good","1 to 3 hours a week","31 to 40 hours a week",7,"0 times","NO",37,1659,,,,,1,0,0,8.334,20000,,70,
1,0,"Vanilla",,"No",,"Yes",15,"Black or African American",23,,3750,10,11,,11,"Black","Some of the time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"GED","0",0,0,0,11.025,,,,
"0",0,"Chocolate","AGREE","Yes",14,"Yes",14,"Something else? (SPECIFY)",28,"0",7500,11,13,,13,"Hispanic","None of the time",29,"Northeast","Citizen, born in the U.S.","0","0",0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"Roman Catholic","NO",,,,"YES",180,"FALSE","Somewhat important",,,"NO",,,,"NO",,"NO",,,"Good","1 to 3 hours a week","3 to 10 hours a week",6,"0 times","YES","0: weeks","0",,8,"GED",,0,0,0,3.505,,,71,
"0",0,"Chocolate","STRONGLY AGREE","Yes",14,"Yes",13,"Something else? (SPECIFY)",,,7500,12,11,,11,"Hispanic","Some of the time",29,"Northeast","Citizen, born in the U.S.",65000,249,3,1,"Never married, cohabiting","Never-married","In CBSA, in central city",1,0,"Roman Catholic","YES",40000,"YES",25000,"YES",218,"TRUE","Very important","30",20,"NO",,,,"NO",,"NO",,70,"Fair","1 to 3 hours a week","3 to 10 hours a week",6,"0 times","NO",1,48,,13,"High school diploma (Regular 12 year program)",,2,0,0,10.443,40000,25000,69,0
"0",0,"Vanilla","STRONGLY AGREE","No",,"No",,"Something else? (SPECIFY)",32,,7500,10,10,,10,"Hispanic","None of the time",28,"Northeast","Citizen, born in the U.S.",,,0,0,"Separated, not cohabiting","Separated","In CBSA, in central city",,,"Pentecostal","YES",56813,,,"YES",120,"FALSE","Somewhat important",,,"YES",4,7,2,"YES","0","NO",,12,"Good","10 hours or more a week","11 to 20 hours a week",7,"0 times","YES",38,1330,2002,15,"Associate/Junior college (AA)",,0,1,1,6.423,56813,,59,0
14,0,"Vanilla","AGREE","No",,"No",,"Something else? (SPECIFY)",16,,7500,5,7,13,7,"Hispanic","Most of the time",27,"Northeast","Citizen, born in the U.S.","0","0",0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",0,2,"Roman Catholic","NO",,,,"NO",145,"FALSE","Somewhat important",3,3,"YES",2,4,2,"YES",2,"NO",,3,"Fair","None","3 to 10 hours a week",8,"0 times","YES","0: weeks","0",,8,"None",,1,0,0,6.12,,,66,
"0",0,"Vanilla","AGREE","No",,"No",,"Something else? (SPECIFY)",,"0",7500,12,12,12,12,"Hispanic","None of the time",28,"Northeast","Citizen, naturalized",41250,186,2,1,"Married, spouse present","Married","In CBSA, in central city",2,0,"Pentecostal","NO",,"YES",35000,"YES",258,"TRUE","Extremely important",,,"YES",2,2,"0","NO",,"NO",,10,"Good","10 hours or more a week","11 to 20 hours a week",6,"0 times","YES",14,490,2004,8,"GED",,0,1,1,5.403,,35000,64,0
1,0,"Vanilla",,"No",,"No",,"Black or African American",21,,7500,,12,,12,"Black","None of the time",30,"Northeast","Citizen, born in the U.S.",,,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"None, no religion - personal philosophy","NO",,,,"NO",210,"TRUE","Very important","30",20,"NO",,,,"NO",,"NO",,,"Fair","None","3 to 10 hours a week",8,"0 times","YES","0: weeks","0",,11,"None",2500,0,0,0,12.866,,,66,
1,0,"Butter Pecan",,"Yes",15,"Yes",12,"Black or African American",26,,7500,8,10,,10,"Black","None of the time",30,"Northeast","Citizen, born in the U.S.",2750,11,3,2,"Never married, cohabiting","Never-married","In CBSA, in central city",3,0,"Baptist","NO",,"NO",,"NO",150,"FALSE","Somewhat important",,,"NO",,,,"NO",,"NO",,30,"Excellent","None","11 to 20 hours a week",6,"0 times","YES",13,260,,,"None",2500,1,0,0,9.161,,,66,0
"0",0,"Strawberry","AGREE","No",,"No",,"Black or African American",18,13000,7500,12,12,16,12,"Black","Some of the time",27,"Northeast","Citizen, naturalized",40500,230,1,1,"Never married, not cohabiting","Never-married","In CBSA, in central city",1,0,"Seventh Day Adventist","YES",40000,,,"YES",200,"TRUE","Extremely important",,,"NO",,,,"NO",,"NO",,,"Very good","7 to 9 hours a week","3 to 10 hours a week",6,"0 times","YES",43,1935,,17,"Bachelor's degree (BA, BS)",,0,0,1,17.058,40000,,69,
"0",0,"Butter Pecan","AGREE","Yes",13,"No",,"White",,,3750,,,,,"Non-Black / Non-Hispanic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,"None",,0,0,1,-.004,,,,
"0",0,"Chocolate",,"No",,"No",,"White",31,,,,,,,"Non-Black / Non-Hispanic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"None",,0,0,0,36.755,,,,
"0",0,"Vanilla","AGREE","No",,"No",,"Asian or Pacific Islander",31,,,12,12,12,12,"Non-Black / Non-Hispanic","Most of the time",29,"Northeast","Citizen, naturalized",85500,379,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"Hindu/Buddhist","YES",85000,,,"YES",140,"FALSE","Not very important",1,1,"YES",2,2,"0","NO",,"NO",,1,"Good","7 to 9 hours a week","3 to 10 hours a week",6,"0 times","YES",38,1520,,16,"Bachelor's degree (BA, BS)",,0,0,0,62.806,85000,,69,
"0",0,"Butter Pecan",,"Yes",14,"No",,"White",25,,,16,16,16,16,"Non-Black / Non-Hispanic","None of the time",30,"Northeast","Citizen, naturalized",167000,949,1,1,"Never married, cohabiting","Never-married","In CBSA, not in central city",1,0,"Jewish - Reform","YES",146002,"YES",65000,"YES",160,"FALSE","Very important",5,3,"YES",1,1,"0","NO",,"NO",,2,"Good","10 hours or more a week","3 to 10 hours a week",8,"0 times","YES",47,2360,,18,"Bachelor's degree (BA, BS)",-8500,1,0,1,39.949,146002,65000,68,0
"0",0,"Chocolate",,"No",,"Yes",15,"White",35,,259500,16,14,16,14,"Non-Black / Non-Hispanic","Some of the time",30,"Northeast","Citizen, born in the U.S.",316618,1971,0,0,"Married, spouse present","Married","In CBSA, in central city",,,"Roman Catholic","YES",16000,"YES",90000,"YES",136,"FALSE","Very important",,,"YES",6,2,"0","NO",,"NO",,6,"Very good","1 to 3 hours a week","3 to 10 hours a week",8,"0 times","YES",41,1886,2009,16,"Bachelor's degree (BA, BS)",,1,1,1,96.655,16000,90000,64,0
"0",0,"Strawberry","AGREE","Yes",9,"Yes",11,"White",32,9800,17500,9,16,9,16,"Non-Black / Non-Hispanic","None of the time",26,"Northeast","Citizen, naturalized",75000,333,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"Jewish - Other Jewish","NO",,,,"YES",120,"FALSE","Extremely important","30",2,"YES",3,3,"0","YES",7,"NO",,,"Very good","10 hours or more a week","21 to 30 hours a week",6,"0 times","NO",31,,,17,"Bachelor's degree (BA, BS)",,0,0,1,35.107,,,67,
"0",0,"Chocolate","STRONGLY AGREE","No",,"No",,"Asian or Pacific Islander",21,,,,,,,"Non-Black / Non-Hispanic",,28,"Northeast","Citizen, born in the U.S.",,,0,0,"Never married, cohabiting","Never-married","In CBSA, in central city",,,"Agnostic","YES",42500,"YES",,"YES",175,"FALSE","Not very important",,,"YES",1,1,"0","NO",,"NO",,0,"Excellent","10 hours or more a week","3 to 10 hours a week",6,"0 times","YES",39,1365,,16,"Bachelor's degree (BA, BS)",,1,0,0,59.27,42500,,67,0
1,0,"Chocolate",,"Yes",14,"Yes",12,"White",29,40500,66000,16,15,16,15,"Non-Black / Non-Hispanic","Most of the time",31,"West","Citizen, born in the U.S.",35250,200,2,0,"Separated, not cohabiting","Separated","In CBSA, not in central city",2,0,"Nondenominational Christian","NO",,"YES",31000,"YES",152,"TRUE","Very important","0",,"YES",15,2,"0","YES",29,"YES",12,50,"Good","10 hours or more a week","3 to 10 hours a week",7,"0 times","NO",22,232,2003,14,"High school diploma (Regular 12 year program)",-2970,2,1,1,52.192,,31000,64,0
"0",0,"Chocolate",,"No",,"No",,"White",18,47500,3000,11,,11,,"Non-Black / Non-Hispanic","None of the time",31,"Northeast","Citizen, born in the U.S.",316618,1971,0,0,"Married, spouse absent","Married","In CBSA, in central city",,,"Agnostic","YES",50000,"YES",50000,"YES",130,"FALSE","Not important at all",28,10,"YES",8,8,6,"NO",,"NO",,2,"Very good","7 to 9 hours a week","11 to 20 hours a week",5,"0 times","YES",47,1927,2009,17,"Bachelor's degree (BA, BS)",9950,1,1,1,82.912,50000,50000,66,0
"0",0,"Chocolate",,"No",,"No",,"White",19,47500,3000,11,,11,,"Non-Black / Non-Hispanic","None of the time",30,"Northeast","Citizen, born in the U.S.",115750,514,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"Agnostic","YES",55000,"YES",60000,"YES",140,"FALSE","Not important at all","30",10,"YES",6,8,4,"NO",,"NO",,10,"Very good","4 to 6 hours a week","3 to 10 hours a week",5,"0 times","YES",47,2162,,16,"Bachelor's degree (BA, BS)",11000,1,0,1,68.753,55000,60000,67,0
"0",0,"None of these",,"Yes",14,"Yes",13,"White",28,,,,,,,"Hispanic",,31,"Northeast","Citizen, born in the U.S.",86643,507,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"Lutheran","YES",,,,"YES",180,"TRUE","Extremely important",,,"YES",,,,"NO",,"NO",,0,"Good","1 to 3 hours a week","Less than 2 hours per week",7,"0 times","NO",52,1040,,16,"Bachelor's degree (BA, BS)",17500,0,0,0,45.9,,,71,
"0",0,"Chocolate","AGREE","No",,"No",,"Asian or Pacific Islander",33,,,12,12,12,12,"Non-Black / Non-Hispanic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,"High school diploma (Regular 12 year program)",,0,0,1,-.004,,,,
2,0,"Chocolate","STRONGLY AGREE","No",,"No",,"Asian or Pacific Islander",31,,,12,12,12,12,"Non-Black / Non-Hispanic","None of the time",28,"Northeast","Citizen, born in the U.S.",45000,308,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"None, no religion - personal philosophy","YES",45000,,,"YES",120,"FALSE","Not important at all",,,"YES",20,2,5,"YES",2,"NO",,5,"Very good","10 hours or more a week","3 to 10 hours a week",6,"4 or 5 times","YES",41,1435,,17,"Bachelor's degree (BA, BS)",,0,0,1,88.652,45000,,62,
"0",0,"Chocolate","STRONGLY AGREE","No",,"No",,"Asian or Pacific Islander",29,,,,,,,"Non-Black / Non-Hispanic","None of the time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0: weeks","0",,17,"Bachelor's degree (BA, BS)",,0,0,0,44.217,,,,
1,0,"Vanilla",,"No",,"No",,"Black or African American",26,,7500,,,,,"Black","None of the time",29,"Northeast","Citizen, born in the U.S.","0","0",0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"Agnostic","NO",,,,"NO",129,"FALSE","Not important at all",,,"YES",23,3,3,"YES","30","NO",,,"Excellent","Less than 1 hour a week","3 to 10 hours a week",6,"0 times","YES","0: weeks","0",,13,"GED",2500,0,0,1,22.965,,,63,
"0",0,"Strawberry",,"No",,"No",,"Black or African American",26,"0",41250,,,,,"Hispanic","Some of the time",29,"Northeast","Citizen, born in the U.S.",,,0,0,"Separated, not cohabiting","Separated","In CBSA, in central city",0,2,"Pentecostal","NO",,,,"YES",190,"FALSE","Extremely important",,,"NO",,,,"NO",,"NO",,,"Fair","1 to 3 hours a week","3 to 10 hours a week",8,"0 times","YES","0: weeks","0",2004,13,"High school diploma (Regular 12 year program)",750,0,1,0,25.325,,,69,0
"0",0,"Chocolate","STRONGLY DISAGREE","No",,"No",,"Black or African American",33,,500,,8,,8,"Black","None of the time",27,"Northeast","Citizen, born in the U.S.",4064,27,1,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",1,0,"Baptist","NO",,,,"YES",,"FALSE","Somewhat important",,,"YES",5,5,,"NO",,"NO",,6,"Excellent","4 to 6 hours a week","3 to 10 hours a week",5,"I DID NOT DRIVE IN THE PAST 30 DAYS","YES","0: weeks","0",,11,"None",,0,0,1,-.004,,,,
8,0,"Chocolate",,"No",,"No",,"Black or African American",33,,500,,8,,8,"Black",,28,"South","Citizen, born in the U.S.",16500,145,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",0,1,"None, no religion - personal philosophy","NO",,,,,280,"TRUE","Somewhat important","30",5,,,,,,,,,,"Good","None","Less than 2 hours per week",6,"0 times","NO","0: weeks","0",,10,"GED",,0,0,0,-.004,,,73,
"0",0,"Strawberry",,"No",,"No",,"Black or African American",19,5500,1750,,11,,,"Black","Some of the time",29,"Northeast","Citizen, born in the U.S.",23250,154,1,1,"Never married, not cohabiting","Never-married","In CBSA, in central city",1,0,"Roman Catholic","YES",23000,,,"YES",137,"TRUE","Very important",,,"NO",,,,"NO",,"NO",,,"Excellent","1 to 3 hours a week","Less than 2 hours per week",5,"0 times","YES",7,342,,14,"High school diploma (Regular 12 year program)",,0,0,1,46.475,23000,,60,
"0",0,"Strawberry","AGREE","Yes",,"Yes",13,"Black or African American",20,5500,1750,,11,,,"Black","None of the time",28,"Northeast","Citizen, born in the U.S.",,,1,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",1,0,"Nondenominational Christian","YES",56000,,,"YES",180,"FALSE","Somewhat important",,,"YES",2,2,"0","NO",,"NO",,0,"Good","10 hours or more a week","3 to 10 hours a week",6,"0 times","YES",44,2200,,16,"Bachelor's degree (BA, BS)",,1,0,1,63.769,56000,,67,
"0",0,"Strawberry","AGREE","No",,"No",,"Black or African American",19,,,,12,,12,"Black","None of the time",29,"Northeast","Citizen, born in the U.S.",,,3,2,"Married, spouse present","Married","In CBSA, in central city",3,0,"Congregationalist","YES",30000,"YES",50000,"YES",174,"FALSE","Extremely important",,,"YES",3,2,"0","NO",,"NO",,3,"Excellent","10 hours or more a week","21 to 30 hours a week",8,"0 times","YES",53,1590,2009,12,"High school diploma (Regular 12 year program)",,1,1,1,79.413,30000,50000,64,0
"0",0,"Strawberry","AGREE","No",,"No",,"Black or African American",19,,3750,,12,,12,"Black","None of the time",28,"Northeast","Citizen, born in the U.S.",,,1,1,"Never married, not cohabiting","Never-married","In CBSA, in central city",1,0,"Baptist","YES",24000,,,"YES",150,"TRUE","Somewhat important",20,2,"YES",5,2,"0","NO",,"NO",,,"Good","10 hours or more a week","3 to 10 hours a week",4,"0 times","YES",40,1520,,13,"GED",,0,0,1,-.004,24000,,64,
"0",0,"None of these",,"No",,,,"Black or African American",16,3750,3750,,12,,12,"Black","None of the time",31,"Northeast","Citizen, born in the U.S.",133000,883,1,1,"Widowed, not cohabiting","Widowed","In CBSA, in central city",1,1,"Baptist","YES",28000,"YES",40000,"YES",185,"TRUE","Somewhat important",,,"YES",4,2,"0","NO",,"NO",,,"Good","1 to 3 hours a week","21 to 30 hours a week",7,"0 times","YES",37,1924,,14,"High school diploma (Regular 12 year program)",3500,1,1,0,51.057,28000,40000,65,0
"0",0,"Chocolate",,"No",,"No",,"Black or African American",19,3750,3750,,12,,12,"Black","Some of the time",27,"South","Citizen, born in the U.S.",55000,313,1,0,"Married, spouse present","Married","In CBSA, in central city",1,0,"None, no religion - personal philosophy","YES",25000,"NO",,"YES",300,"FALSE","Somewhat important",,,"YES",3,2,1,"NO",,"NO",,7,"Good","7 to 9 hours a week","11 to 20 hours a week",6,"0 times","NO",37,1702,2005,14,"High school diploma (Regular 12 year program)",,1,1,0,29.824,25000,,69,0
"0",0,"Chocolate","AGREE","No",,"No",,"Black or African American",20,,7500,12,12,12,12,"Black","Some of the time",27,"Northeast","Citizen, born in the U.S.",86000,375,1,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"Baptist","YES",26000,,,"YES",115,"TRUE","Very important",29,6,"YES",5,2,"0","YES",25,"NO",,30,"Good","10 hours or more a week","3 to 10 hours a week",6,"I DID NOT DRIVE IN THE PAST 30 DAYS","YES",50,2000,,12,"High school diploma (Regular 12 year program)",,0,0,1,47.134,26000,,63,
"0",0,"Chocolate","AGREE","No",,"No",,"Black or African American",31,,,,14,,,"Black","Some of the time",26,"Northeast","Citizen, born in the U.S.",,,3,2,"Never married, not cohabiting","Never-married","In CBSA, in central city",2,0,"Other organized religion","YES",25000,,,"YES",210,"FALSE","Somewhat important",20,3,"YES",10,2,2,"NO",,"NO",,,"Good","10 hours or more a week","11 to 20 hours a week",5,"0 times","YES",40,1460,,14,"Associate/Junior college (AA)",,2,0,1,58.541,25000,,65,
