age,age_spouse,citizen,ethnicity,female,forborn,ftfy,hispanic,income_spouse,incwage,major,marrspp,metro,nchild,nchlt5,race,region,single,south,speakeng,years_usa,yrmarr
29,32,1,"Black",1,0,1,0,57000,45000,"Business",1,0,1,1,"Black","South",0,1,1,29,2006
31,,1,"White",1,0,1,0,,42000,"Education",0,1,0,0,"White","South",1,1,1,31,0
44,43,1,"White",1,0,1,0,35000,60000,"Other",1,1,2,0,"White","South",0,1,1,44,1991
29,,1,"White",1,0,1,0,,45000,"Health",0,1,0,0,"White","South",1,1,1,29,0
43,,1,"White",0,0,1,0,,290000,"Engineering",0,1,0,0,"White","South",0,1,1,43,1996
31,25,1,"White",0,0,1,0,36000,57000,"Other",1,1,1,1,"White","South",0,1,1,31,2008
25,31,1,"White",1,0,1,0,57000,36000,"Education",1,1,1,1,"White","South",0,1,1,25,2008
49,50,1,"Black",0,0,1,0,12400,130000,"Business",1,1,2,0,"Black","South",0,1,1,49,1981
28,,1,"White",0,0,1,0,,32000,"Engineering",0,1,0,0,"White","South",0,1,1,28,2006
54,,1,"White",1,0,1,0,,65000,"Education",0,1,1,0,"White","South",0,1,1,54,1999
30,29,1,"White",0,0,0,0,68000,4000,"Business",1,0,1,1,"White","South",0,1,1,30,2007
51,51,1,"White",0,0,0,0,0,98000,"Technical",1,1,2,0,"White","South",0,1,1,51,1992
53,,1,"White",0,0,1,0,,140000,"Social sciences",0,1,0,0,"White","South",0,1,1,53,1980
30,31,1,"Other",0,0,1,0,3700,90000,"Engineering",1,0,0,0,"Other","West",0,0,1,30,2002
49,,1,"Other",0,0,0,0,,55000,"Engineering",0,0,0,0,"Other","West",0,0,1,49,1994
48,49,1,"White",0,0,1,0,1200,45000,"Technical",1,0,2,0,"White","West",0,0,1,48,1985
36,36,1,"White",0,0,0,0,75000,4500,"Social sciences",1,0,1,1,"White","West",0,0,1,36,2005
39,38,1,"White",0,0,1,0,70000,80000,"Business",1,1,2,1,"White","West",0,0,1,39,2003
31,29,1,"White",0,0,1,0,70000,50000,"Natural sciences",1,0,0,0,"White","West",0,0,1,31,2010
29,31,1,"White",1,0,1,0,70000,60000,"Natural sciences",1,0,0,0,"White","West",0,0,1,29,2010
25,,1,"White",0,0,0,0,,6000,"Natural sciences",0,0,0,0,"White","West",1,0,1,25,0
42,42,1,"White",0,1,1,0,8000,120000,"Business",1,0,2,0,"White","West",0,0,1,42,1992
46,43,1,"White",0,0,1,0,21300,130000,"Humanities",1,0,1,0,"White","West",0,0,1,46,2005
43,46,1,"White",1,0,0,0,131300,20000,"Social sciences",1,0,1,0,"White","West",0,0,1,43,2005
38,38,1,"White",0,1,1,0,1300,70000,"Humanities",1,0,2,0,"White","West",0,0,1,36,1995
40,,1,"White",1,0,0,0,,13000,"Health",0,1,1,0,"White","West",1,0,1,40,0
28,,1,"Other",0,0,0,0,,30000,"Education",0,0,0,0,"Other","West",1,0,1,28,0
47,,1,"White",1,0,1,0,,125000,"Business",0,1,2,0,"White","West",0,0,1,47,2000
28,,1,"Other",1,0,0,0,,4800,"Social sciences",0,1,0,0,"Other","West",1,0,1,28,0
43,37,1,"White",0,0,0,0,25000,10000,"Public service",1,1,2,0,"White","West",0,0,1,43,2004
39,51,1,"White",1,0,0,0,20480,292000,"Education",1,1,2,0,"White","West",0,0,1,39,1990
47,,1,"White",0,0,1,0,,127000,"Engineering",0,1,0,0,"White","West",0,0,1,47,1992
46,47,1,"Hispanic",1,0,0,1,120000,45000,"Education",1,0,2,0,"White","West",0,0,1,46,1982
35,,1,"White",1,1,1,0,,14200,"Engineering",0,1,0,0,"White","West",0,0,1,7,2004
54,42,1,"White",0,0,0,0,24000,15000,"Business",1,1,2,0,"White","West",0,0,1,54,1988
32,31,1,"White",1,0,1,0,42000,36000,"Health",1,1,0,0,"White","West",0,0,1,32,2007
45,,1,"White",1,0,1,0,,48000,"Business",0,1,1,0,"White","West",0,0,1,45,1995
39,,1,"White",0,1,1,0,,116000,"Business",0,1,0,0,"White","West",1,0,1,37,0
47,50,1,"White",1,0,1,0,300000,170000,"Engineering",1,1,2,0,"White","West",0,0,1,47,1992
52,50,1,"Other",0,0,0,0,0,292000,"Social sciences",1,1,2,0,"Other","West",0,0,1,52,1985
33,,1,"White",0,0,1,0,,65000,"Business",0,1,0,0,"White","West",1,0,1,33,0
37,37,1,"White",0,0,1,0,2000,12000,"Business",1,1,3,0,"White","West",0,0,1,37,2002
53,,1,"White",0,0,1,0,,55000,"Technical",0,1,0,0,"White","West",0,0,1,53,1994
38,40,1,"Hispanic",0,0,1,1,0,150000,"Business",1,1,3,0,"White","West",0,0,1,38,2001
38,36,1,"Asian",1,1,1,0,43000,53000,"Education",1,1,2,0,"Asian","West",0,0,1,16,2001
52,43,1,"White",0,0,1,0,0,72000,"Public service",1,1,4,0,"White","West",0,0,1,52,1992
30,32,1,"White",1,0,0,0,8000,24000,"Health",1,1,1,1,"White","West",0,0,1,30,2006
26,,1,"Hispanic",0,0,1,1,,42000,"Business",0,1,0,0,"White","West",1,0,1,26,0
46,50,1,"White",0,0,1,0,9300,49000,"Engineering",1,1,1,0,"White","West",0,0,1,46,1988
46,49,1,"White",1,0,0,0,47000,58000,"Health",1,1,2,0,"White","West",0,0,1,46,1983
34,43,1,"White",1,0,0,0,48000,7300,"Natural sciences",1,1,2,2,"White","West",0,0,1,34,2006
50,47,1,"Asian",0,0,1,0,0,100000,"Engineering",1,1,2,0,"Asian","West",0,0,1,50,1995
27,,1,"White",1,0,0,0,,33600,"Natural sciences",0,1,0,0,"White","West",1,0,1,27,0
33,33,1,"White",1,0,1,0,90000,70000,"Engineering",1,1,3,1,"White","West",0,0,1,33,2001
50,,1,"White",0,0,1,0,,65000,"Business",0,1,0,0,"White","West",0,0,1,50,1991
26,,1,"White",1,0,0,0,,1100,"Humanities",0,1,0,0,"White","West",1,0,1,26,0
28,31,1,"White",1,0,1,0,20600,55000,"Business",1,1,0,0,"White","West",0,0,1,28,2005
28,35,0,"Hispanic",0,1,1,1,0,55000,"Engineering",1,1,2,2,"White","West",0,0,1,2,2007
34,36,1,"White",1,0,1,0,35000,34000,"Education",1,1,2,2,"White","West",0,0,1,34,2008
25,25,1,"White",1,0,1,0,30000,20000,"Education",1,1,0,0,"White","West",0,0,1,25,2010
31,,1,"White",1,0,0,0,,35000,"Other",0,1,0,0,"White","West",1,0,1,31,0
54,,1,"White",0,0,1,0,,110000,"Social sciences",0,1,0,0,"White","West",0,0,1,54,2009
30,,1,"White",0,0,1,0,,65000,"Business",0,1,0,0,"White","West",1,0,1,30,0
39,,1,"White",0,0,1,0,,52000,"Humanities",0,1,0,0,"White","West",0,0,1,39,1992
26,28,1,"White",1,1,1,0,51110,22800,"Natural sciences",1,1,0,0,"White","West",0,0,1,26,2009
28,26,1,"White",0,0,1,0,22800,50000,"Engineering",1,1,0,0,"White","West",0,0,1,28,2009
26,,1,"White",1,0,1,0,,13000,"Humanities",0,1,0,0,"White","West",1,0,1,26,0
27,,1,"White",0,0,1,0,,13000,"Business",0,1,0,0,"White","West",1,0,1,27,0
40,,1,"White",0,0,1,0,,292000,"Engineering",0,1,0,0,"White","West",1,0,1,40,0
43,,1,"White",1,0,0,0,,14000,"Social sciences",0,0,1,0,"White","West",1,0,1,43,0
50,,1,"White",0,0,1,0,,40000,"Engineering",0,1,0,0,"White","West",0,0,1,50,2001
40,39,1,"White",0,0,0,0,40000,12000,"Education",1,1,2,1,"White","West",0,0,1,40,2001
44,,1,"White",1,0,1,0,,58000,"Business",0,1,1,0,"White","West",0,0,1,44,1986
39,44,1,"White",1,0,1,0,54000,80000,"Humanities",1,1,0,0,"White","West",0,0,1,39,2002
48,50,1,"White",1,0,1,0,27000,62000,"Business",1,1,0,0,"White","West",0,0,1,48,1992
29,,1,"White",1,0,1,0,,42000,"Public service",0,1,0,0,"White","West",1,0,1,29,0
54,68,1,"White",0,0,1,0,13000,12000,"Humanities",1,1,0,0,"White","West",0,0,1,54,1982
46,44,1,"White",1,0,0,0,70000,40000,"Business",1,1,2,1,"White","West",0,0,1,46,2005
54,,1,"White",1,0,0,0,,53000,"Humanities",0,1,0,0,"White","West",0,0,1,54,1980
41,43,1,"White",1,0,1,0,35250,45000,"Social sciences",1,1,2,0,"White","West",0,0,1,41,1993
25,,1,"White",0,0,1,0,,30000,"Social sciences",0,1,0,0,"White","West",1,0,1,25,0
50,,1,"White",1,0,1,0,,70000,"Business",0,1,0,0,"White","West",1,0,1,50,0
51,55,1,"White",1,0,1,0,20000,80000,"Social sciences",1,1,0,0,"White","West",0,0,1,51,2005
53,50,1,"Hispanic",0,0,1,1,8000,70000,"Humanities",1,1,3,0,"White","West",0,0,1,53,1985
46,46,1,"White",0,0,1,0,160,93000,"Engineering",1,1,2,0,"White","West",0,0,1,46,1990
54,,1,"White",1,0,0,0,,36000,"Business",0,1,0,0,"White","West",0,0,1,54,1980
50,49,1,"White",0,0,1,0,50000,120000,"Business",1,1,4,0,"White","West",0,0,1,50,1984
53,53,1,"White",0,0,1,0,52000,292000,"Social sciences",1,1,0,0,"White","West",0,0,1,53,1982
53,53,1,"White",1,0,0,0,292000,52000,"Social sciences",1,1,0,0,"White","West",0,0,1,53,1982
41,,1,"Other",0,0,1,0,,45000,"Engineering",0,0,0,0,"Other","West",1,0,1,41,0
35,29,0,"Asian",0,1,1,0,0,12000,"Humanities",1,1,2,1,"Asian","West",0,0,1,2,1999
37,55,1,"Asian",1,1,1,0,124000,50000,"Natural sciences",1,1,3,1,"Asian","West",0,0,1,25,1999
42,36,1,"White",0,0,1,0,292000,72000,"Social sciences",1,1,2,0,"White","West",0,0,1,42,1998
36,42,1,"White",1,0,1,0,72000,292000,"Social sciences",1,1,2,0,"White","West",0,0,1,36,1998
49,46,1,"Hispanic",1,1,1,1,42200,40000,"Social sciences",1,1,2,0,"White","West",0,0,1,45,1992
44,,0,"Asian",1,1,0,0,,400,"Natural sciences",0,1,2,0,"Asian","West",0,0,1,11,1995
27,,1,"White",0,0,0,0,,400,"Other",0,1,0,0,"White","West",1,0,1,27,0
49,43,1,"White",0,0,1,0,15100,95000,"Other",1,1,2,0,"White","West",0,0,1,49,2002
30,,1,"White",0,0,1,0,,64000,"Humanities",0,1,0,0,"White","West",0,0,1,30,2005
37,44,1,"White",1,0,0,0,122000,2000,"Education",1,1,3,0,"White","West",0,0,1,37,1997
43,46,1,"White",0,0,1,0,18780,105000,"Humanities",1,1,1,0,"White","West",0,0,1,43,1992
46,43,1,"White",1,0,0,0,105080,18700,"Other",1,1,1,0,"White","West",0,0,1,46,1992
26,,1,"White",0,0,0,0,,3500,"Public service",0,1,0,0,"White","West",1,0,1,26,0
42,,1,"White",0,0,1,0,,126000,"Engineering",0,1,0,0,"White","West",0,0,1,42,2007
45,,1,"Hispanic",0,1,1,1,,20000,"Humanities",0,1,0,0,"White","West",1,0,1,43,0
42,,1,"White",1,0,1,0,,55000,"Business",0,1,0,0,"White","West",0,0,1,42,1996
47,,1,"White",0,0,1,0,,75000,"Engineering",0,1,0,0,"White","West",0,0,1,47,2005
25,,1,"White",0,0,0,0,,20000,"Social sciences",0,1,0,0,"White","West",1,0,1,25,0
38,,1,"White",0,0,1,0,,80000,"Engineering",0,0,0,0,"White","West",0,0,1,38,2007
52,,1,"White",0,0,1,0,,43600,"Humanities",0,1,0,0,"White","West",0,0,1,52,1990
44,43,1,"White",0,0,1,0,0,110000,"Engineering",1,1,2,0,"White","West",0,0,1,44,1994
49,,1,"White",0,0,1,0,,62000,"Natural sciences",0,1,0,0,"White","West",0,0,1,49,1987
52,59,1,"White",1,0,0,0,292000,3600,"Business",1,1,2,0,"White","West",0,0,1,52,1998
46,,1,"White",1,0,1,0,,48000,"Business",0,1,0,0,"White","West",0,0,1,46,1990
32,,1,"White",0,0,1,0,,50000,"Social sciences",0,1,0,0,"White","West",1,0,1,32,0
42,,1,"White",0,0,1,0,,38000,"Social sciences",0,1,0,0,"White","West",1,0,1,42,0
45,,1,"White",1,0,0,0,,45000,"Business",0,1,0,0,"White","West",1,0,1,45,0
40,39,1,"White",0,1,1,0,50000,105000,"Engineering",1,1,0,0,"White","West",0,0,1,31,2001
53,59,1,"White",0,0,1,0,9300,70000,"Business",1,1,1,0,"White","West",0,0,1,53,1983
38,42,1,"Hispanic",1,1,1,1,30000,28000,"Engineering",1,1,3,0,"White","West",0,0,1,11,1997
53,55,1,"White",1,0,0,0,20000,35000,"Health",1,1,0,0,"White","West",0,0,1,53,1978
44,,0,"Asian",1,1,1,0,,24000,"Business",0,1,2,0,"Asian","West",0,0,1,18,2000
50,,1,"White",0,0,1,0,,59000,"Business",0,1,1,0,"White","West",0,0,1,50,1999
39,,1,"Black",0,0,1,0,,40000,"Engineering",0,1,0,0,"Black","West",1,0,1,39,0
44,47,1,"White",0,0,1,0,150,100000,"Engineering",1,1,2,0,"White","West",0,0,1,44,1995
47,,1,"White",1,0,0,0,,40000,"Education",0,1,1,0,"White","West",0,0,1,47,2001
42,,1,"White",1,0,0,0,,35000,"Business",0,1,1,0,"White","West",0,0,1,42,1991
27,26,1,"White",0,0,1,0,40000,42000,"Public service",1,1,0,0,"White","West",0,0,1,27,2008
26,27,1,"White",1,0,1,0,42000,40000,"Business",1,1,0,0,"White","West",0,0,1,26,2008
32,30,1,"White",0,0,1,0,0,72000,"Business",1,1,4,2,"White","West",0,0,1,32,2000
36,,1,"Other",0,0,1,0,,30000,"Humanities",0,0,0,0,"Other","West",1,0,1,36,0
34,,1,"White",1,0,0,0,,15900,"Engineering",0,1,0,0,"White","West",1,0,1,34,0
40,39,1,"White",0,0,1,0,4000,130000,"Other",1,1,3,0,"White","West",0,0,1,40,1997
43,34,1,"White",0,0,1,0,0,61000,"Business",1,0,3,3,"White","West",0,0,1,43,1994
44,36,1,"Hispanic",0,0,1,1,0,97000,"Business",1,1,3,0,"White","West",0,0,1,44,1997
51,53,1,"White",1,0,0,0,301200,29400,"Health",1,1,0,0,"White","West",0,0,1,51,1987
30,,1,"White",1,0,0,0,,1200,"Health",0,1,0,0,"White","West",1,0,1,30,0
48,,1,"White",0,0,1,0,,18000,"Social sciences",0,0,0,0,"White","South",1,1,1,48,0
48,47,1,"White",0,0,1,0,0,80000,"Natural sciences",1,1,0,0,"White","South",0,1,1,48,1990
25,,1,"White",1,0,0,0,,13000,"Public service",0,1,0,0,"White","South",1,1,1,25,0
54,53,1,"White",0,0,1,0,14000,54000,"Humanities",1,1,0,0,"White","South",0,1,1,54,1978
40,,1,"Black",1,0,1,0,,47000,"Education",0,0,1,0,"Black","South",1,1,1,40,0
32,31,1,"White",0,0,1,0,6100,31500,"Education",1,0,2,1,"White","South",0,1,1,32,1997
53,,1,"White",0,0,1,0,,17000,"Business",0,0,0,0,"White","South",0,1,1,53,2009
38,,1,"Black",1,0,1,0,,28000,"Humanities",0,0,0,0,"Black","South",1,1,1,38,0
35,25,1,"White",0,0,1,0,0,70000,"Humanities",1,1,2,2,"White","South",0,1,1,35,2007
40,29,1,"White",0,0,0,0,75000,6000,"Humanities",1,0,4,3,"White","South",0,1,1,40,2001
51,42,1,"White",1,0,1,0,5800,45000,"Education",1,1,2,0,"White","South",0,1,1,51,1993
40,42,1,"White",1,0,1,0,57000,30000,"Education",1,1,1,0,"White","South",0,1,1,40,2001
32,,1,"White",0,0,1,0,,40000,"Humanities",0,1,0,0,"White","South",1,1,1,32,0
36,35,1,"White",0,0,1,0,28000,34000,"Social sciences",1,0,1,1,"White","South",0,1,1,36,2000
27,27,1,"White",1,0,1,0,120000,40000,"Health",1,0,0,0,"White","South",0,1,1,27,2009
30,28,1,"White",0,0,1,0,6600,44100,"Health",1,1,2,1,"White","South",0,1,1,30,2009
42,71,1,"Black",1,0,1,0,13000,40000,"Natural sciences",1,0,2,0,"Black","South",0,1,1,42,2009
29,30,1,"White",1,0,1,0,60000,33000,"Education",1,0,2,1,"White","South",0,1,1,29,2006
47,51,1,"White",1,0,1,0,52090,43100,"Business",1,0,2,0,"White","South",0,1,1,47,1989
45,46,1,"White",0,0,1,0,50000,57000,"Business",1,0,2,0,"White","South",0,1,1,45,1993
46,45,1,"White",1,0,0,0,57000,50000,"Social sciences",1,0,2,0,"White","South",0,1,1,46,1993
51,51,1,"Black",1,0,1,0,49000,48000,"Education",1,0,2,0,"Black","South",0,1,1,51,1982
51,51,1,"Black",0,0,1,0,48000,49000,"Natural sciences",1,0,2,0,"Black","South",0,1,1,51,1982
40,39,1,"White",0,0,1,0,39000,60000,"Business",1,0,3,0,"White","South",0,1,1,40,2001
54,37,1,"White",0,0,1,0,35000,43000,"Natural sciences",1,0,2,0,"White","South",0,1,1,54,1997
52,53,1,"White",1,0,1,0,40000,42000,"Business",1,0,1,0,"White","South",0,1,1,52,1979
31,,0,"White",0,1,0,0,,6000,"Social sciences",0,0,0,0,"White","South",1,1,1,29,0
26,,1,"White",0,0,1,0,,43000,"Technical",0,1,0,0,"White","South",1,1,1,26,0
45,,1,"White",0,0,1,0,,50000,"Technical",0,0,4,2,"White","South",0,1,1,45,1999
46,57,1,"Black",0,0,1,0,19000,21000,"Social sciences",1,1,0,0,"Black","South",0,1,1,46,2009
42,42,1,"White",0,0,1,0,55000,120000,"Education",1,1,2,0,"White","South",0,1,1,42,1994
47,52,1,"White",1,0,1,0,120000,100000,"Education",1,1,5,0,"White","South",0,1,1,47,1982
32,,1,"White",0,0,1,0,,53000,"Education",0,0,0,0,"White","South",1,1,1,32,0
47,47,1,"White",1,0,1,0,75000,79000,"Public service",1,1,0,0,"White","South",0,1,1,47,1987
51,51,1,"White",0,0,1,0,5050,72000,"Business",1,0,0,0,"White","South",0,1,1,51,1979
43,,1,"White",1,0,1,0,,86000,"Business",0,1,1,0,"White","South",0,1,1,43,1993
31,39,1,"Black",1,0,1,0,25000,24000,"Public service",1,0,2,1,"Black","South",0,1,1,31,2006
35,37,1,"White",0,0,1,0,38000,110000,"Business",1,0,2,0,"White","South",0,1,1,35,1998
33,,1,"Black",1,0,0,0,,7200,"Humanities",0,1,2,0,"Black","South",1,1,1,33,0
48,,1,"White",1,0,1,0,,32000,"Business",0,0,2,0,"White","South",0,1,1,48,1988
41,,1,"Black",1,0,1,0,,39000,"Social sciences",0,1,1,0,"Black","South",1,1,1,41,0
51,52,1,"White",1,0,1,0,78020,38000,"Business",1,0,1,0,"White","South",0,1,1,51,1985
25,24,1,"White",0,0,1,0,25000,80000,"Business",1,1,0,0,"White","South",0,1,1,25,2011
27,,1,"White",0,0,1,0,,26000,"Education",0,0,0,0,"White","South",1,1,1,27,0
43,,1,"White",0,0,1,0,,49000,"Business",0,1,1,0,"White","South",0,1,1,43,1993
33,,1,"Hispanic",1,0,1,1,,24000,"Business",0,1,0,0,"White","West",1,0,1,33,0
44,,1,"White",1,0,1,0,,24000,"Social sciences",0,1,0,0,"White","West",0,0,1,44,2009
36,40,1,"Black",0,0,0,0,65000,105000,"Natural sciences",1,1,0,0,"Black","West",0,0,1,36,1996
40,36,1,"Black",1,0,1,0,105000,65000,"Health",1,1,0,0,"Black","West",0,0,1,40,1996
51,49,1,"Black",1,0,1,0,100000,59000,"Education",1,1,0,0,"Black","West",0,0,1,51,1989
28,,1,"White",1,1,1,0,,37000,"Social sciences",0,1,0,0,"White","West",1,0,1,11,0
29,,1,"Hispanic",0,0,1,1,,30000,"Engineering",0,1,0,0,"White","West",1,0,1,29,0
49,,0,"White",1,1,0,0,,12000,"Social sciences",0,1,0,0,"White","West",0,0,0,0,2011
50,45,1,"Other",0,0,1,0,9000,90000,"Business",1,1,3,0,"Other","West",0,0,1,50,1985
53,54,1,"White",1,0,1,0,130000,102000,"Social sciences",1,1,0,0,"White","West",0,0,1,53,2000
33,36,0,"Asian",0,1,1,0,0,96000,"Business",1,1,2,2,"Asian","West",0,0,1,15,2002
38,38,1,"White",1,1,0,0,28000,42000,"Social sciences",1,1,2,0,"White","West",0,0,1,35,2002
26,,1,"Hispanic",1,0,1,1,,24600,"Humanities",0,1,0,0,"White","West",1,0,1,26,0
36,36,1,"White",1,0,1,0,100000,45000,"Social sciences",1,1,1,0,"White","West",0,0,1,36,2010
36,36,1,"White",0,0,1,0,45000,100000,"Social sciences",1,1,1,0,"White","West",0,0,1,36,2010
25,,1,"Asian",0,0,0,0,,6200,"Natural sciences",0,1,0,0,"Asian","West",1,0,1,25,0
42,,1,"White",0,0,0,0,,105000,"Business",0,1,0,0,"White","West",1,0,1,42,0
29,,1,"White",1,0,0,0,,55000,"Education",0,1,0,0,"White","West",1,0,1,29,0
31,29,1,"Asian",0,1,1,0,0,35000,"Business",1,1,1,1,"Asian","West",0,0,1,23,2008
30,,1,"Asian",0,1,1,0,,30000,"Business",0,1,0,0,"Asian","West",1,0,1,23,0
36,35,1,"White",1,0,1,0,23500,83000,"Social sciences",1,1,2,1,"White","West",0,0,1,36,1999
35,36,1,"White",0,0,0,0,83000,23000,"Business",1,1,2,1,"White","West",0,0,1,35,1999
29,,1,"Hispanic",0,0,0,1,,500,"Humanities",0,1,0,0,"White","West",1,0,1,29,0
27,,1,"Hispanic",0,0,1,1,,35000,"Engineering",0,1,0,0,"White","West",1,0,1,27,0
42,,1,"Asian",1,1,0,0,,1400,"Humanities",0,1,0,0,"Asian","West",0,0,1,27,1993
25,34,1,"White",1,0,1,0,50000,50000,"Health",1,1,1,1,"White","West",0,0,1,25,2008
49,,1,"Asian",1,1,1,0,,60000,"Business",0,1,0,0,"Asian","West",0,0,1,29,1984
49,46,1,"White",1,0,0,0,200000,33000,"Social sciences",1,1,3,0,"White","West",0,0,1,49,1990
53,53,0,"White",0,1,1,0,15000,130000,"Social sciences",1,1,2,0,"White","West",0,0,1,47,1980
53,53,1,"White",1,0,0,0,130000,14000,"Humanities",1,1,2,0,"White","West",0,0,1,53,1980
36,,1,"Asian",1,0,1,0,,34000,"Social sciences",0,1,0,0,"Asian","West",1,0,1,36,0
28,,1,"Black",1,0,1,0,,65000,"Business",0,1,0,0,"Black","West",1,0,1,28,0
34,,1,"Hispanic",1,0,0,1,,60000,"Health",0,1,0,0,"White","West",1,0,1,34,0
