state,year,spircons,unrate,perinc,emppop,beertax,sobapt,mormon,mlda,dry,yngdrv,vmiles,breath,jaild,comserd,allmort,mrall,allnite,mralln,allsvn,a1517,mra1517,a1517n,mra1517n,a1820,a1820n,mra1820,mra1820n,a2124,mra2124,a2124n,mra2124n,aidall,mraidall,pop,pop1517,pop1820,pop2124,miles,unus,epopus,gspch
4,1985,1.860000014,6.5,13726.69531,58.64853287,0.381355941,3.756200075,4.65970993,21,0,0.188428,6771.262695,0,1,1,893,0.000280201,150,4.70662E-05,75,48,0.000342857,11,7.8571E-05,100,26,0.000625657,0.000162671,121,0.00055,30,0.000136364,225.8240051,7.0858E-05,3186998,140000.0625,159832.0313,220000,21580,7.199999809,60.10000229,0.078195602
4,1986,1.779999971,6.900000095,14107.32715,60.28018188,0.371517032,3.690999985,4.576320171,21,0,0.171538994,8129.007813,0,1,1,1007,0.000307106,173,5.276E-05,85,72,0.000486486,19,0.000128378,104,30,0.000645963,0.000186335,130,0.000616114,25,0.000118483,242.8269958,7.4055E-05,3278998,148000.1406,161000,210999.9063,26655,7,60.70000076,0.067712516
4,1987,1.720000029,6.199999809,14241,60.21505737,0.360000014,3.626899958,4.494420052,21,0,0.168724,9370.654297,0,1,1,937,0.000276728,172,5.07974E-05,87,50,0.00033557,16,0.000107383,99,25,0.00061111,0.000154321,121,0.000570755,34,0.000160377,241.7799988,7.1406E-05,3385996.25,149000.2188,162000.2969,211999.9063,31729,6.199999809,61.5,0.064111322
4,1988,1.679999948,6.300000191,14408.08496,60.49766541,0.346487015,3.563999891,4.413990021,21,0,0.161005005,9815.720703,0,1,1,944,0.000270565,136,3.89797E-05,67,54,0.000364865,14,9.4595E-05,100,14,0.00063694,8.9172E-05,116,0.00053211,31,0.000142202,238.2339935,6.8281E-05,3488995,147999.9375,157000.6563,218000.0469,34247,5.5,62.30000305,0.026567843
5,1982,1.190000057,9.800000191,10267.30273,54.47585678,0.650358021,22.96719933,0.328289986,21,36.71279907,0.204903007,7208.500488,0,0,0,550,0.000238405,102,4.42133E-05,64,36,0.000295082,5,4.0984E-05,62,24,0.000511258,0.000197906,61,0.000388535,18,0.00011465,271.4590149,0.000117668,2306998.5,121999.9922,121269.5,157000.0156,16630,9.699999809,57.79999924,-0.034733824
5,1983,1.200000048,10.10000038,10433.48633,53.81479263,0.675458729,23.00090027,0.343409985,21,36.43009949,0.194169,7175.916992,0,0,0,557,0.00023957,88,3.78495E-05,47,35,0.00029661,2,1.6949E-05,65,19,0.000538534,0.000157418,73,0.000459119,22,0.000138365,247.8569946,0.000106605,2324999,118000.0703,120698.1016,159000.1719,16684,9.600000381,57.90000153,0.040144395
5,1984,1.220000029,8.899999619,10916.4834,54.67127991,0.598901093,23.0345993,0.359239995,21,36.10400009,0.186379999,7084.819824,0,0,0,525,0.000223785,81,3.45269E-05,48,34,0.000295652,2,1.7391E-05,72,24,0.000599354,0.000199785,67,0.00041358,18,0.000111111,182.7070007,7.788E-05,2346001.75,115000.0703,120129.3906,162000.0938,16621,7.5,59.50000381,0.083597317
5,1985,1.120000005,8.699999809,11149.36426,54.97711945,0.57733053,23.06839943,0.37579,21,35.90499878,0.189291999,7253.917969,0,0,0,534,0.000226367,73,3.09453E-05,43,45,0.00039823,7,6.1947E-05,56,13,0.000468371,0.000108729,57,0.000354037,19,0.000118012,198.154007,8.3999E-05,2359001,113000.0234,119563.3672,161000.125,17112,7.199999809,60.10000229,0.004602179
5,1986,0.920000017,8.699999809,11399.38086,55.56186295,0.562435508,23.10219955,0.393110007,21,39.56959915,0.161956996,7468.999023,0,0,0,603,0.000254323,108,4.55504E-05,67,48,0.000417391,7,6.087E-05,66,22,0.000554622,0.000184874,78,0.000537931,22,0.000151724,237.5169983,0.000100176,2371000.5,115000.0781,119000,145000.0156,17709,7,60.70000076,0.029769236
5,1987,1.00999999,8.100000381,11537,56.33089447,0.545000017,23.13610077,0.411229998,21,39.28789902,0.164131999,7665.830566,0,0,0,639,0.000267588,110,4.60637E-05,61,58,0.0005,15,0.00012931,72,19,0.00061538,0.000162393,65,0.000457746,17,0.000119718,221.9049988,9.2925E-05,2387999.5,115999.9922,117000.875,142000.1406,18306,6.199999809,61.5,0.001930031
5,1988,0.99000001,7.699999809,11760.34668,57.36695099,0.524542868,23.17000008,0.430180013,21,39.28789902,0.167540997,8024.625488,0,0,0,610,0.000254697,86,3.59081E-05,55,41,0.000359649,6,5.2632E-05,61,16,0.00055455,0.000145455,69,0.000472603,21,0.000143836,208.8500061,8.7201E-05,2395002.75,114000.0313,109999.1016,145999.9219,19219,5.5,62.30000305,0.033733506
6,1982,2.210000038,9.899999619,15797.13574,59.51593018,0.10739857,1.723099947,1.678539991,21,0,0.190195993,6858.676758,0,0,0,4615,0.000186194,944,3.8086E-05,553,241,0.000208297,61,5.2723E-05,567,161,0.000429219,0.000121877,758,0.000400423,249,0.000131537,1379.130005,5.5641E-05,24785976,1157001.75,1321004.375,1892998.125,169999,9.699999809,57.79999924,-0.011686022
6,1983,2.150000095,9.699999809,15970.18359,59.25233459,0.103211015,1.734699965,1.667919993,21,0,0.183568999,7216.291504,0,0,0,4573,0.000180672,856,3.38193E-05,487,232,0.000206039,39,3.4636E-05,513,141,0.000391644,0.000107645,702,0.000372216,206,0.000109226,1251.599976,4.9449E-05,25311062,1126000.5,1309863.125,1886001.75,182652,9.600000381,57.90000153,0.053036682
6,1984,2.069999933,7.800000191,16590.10938,60.69825745,0.0989011,1.746399999,1.657359958,21,0,0.174131006,7619.175781,0,0,0,5020,0.000194611,957,3.71002E-05,559,267,0.000241629,68,6.1538E-05,593,177,0.00045657,0.000136278,770,0.000410886,215,0.000114728,1421.819946,5.512E-05,25795048,1104999.875,1298815.875,1873999.125,196537,7.5,59.50000381,0.072460994
6,1985,1.970000029,7.199999809,16985.16992,61.331707,0.095338985,1.758200049,1.646870017,21,0,0.167896003,7874.066895,0,0,0,4960,0.000188128,887,3.36431E-05,499,302,0.000273056,65,5.877E-05,545,139,0.000423182,0.000107931,762,0.000410782,226,0.000121833,1243.920044,4.7181E-05,26365028,1106000.25,1287861.75,1854998.5,207600,7.199999809,60.10000229,0.048330504
6,1986,1.850000024,6.699999809,17356.03711,62.00846863,0.092879258,1.770099998,1.636440039,21,0,0.164370999,8034.910156,0,0,0,5253,0.000194548,880,3.25914E-05,510,318,0.000271331,62,5.2901E-05,571,141,0.000447142,0.000110415,757,0.00042841,185,0.000104697,1309.910034,4.8513E-05,27001048,1172000.25,1277000,1766998.875,216951,7,60.70000076,0.04668143
6,1987,1.779999971,5.800000191,17846,63.07429504,0.090000004,1.782099962,1.626080036,21,0,0.160681993,8180.633301,0,0,0,5504,0.000198966,944,3.4125E-05,531,302,0.000259673,50,4.2992E-05,601,137,0.00047397,0.000108044,717,0.00040878,199,0.000113455,1431.569946,5.175E-05,27663018,1163001.25,1268012.75,1753999.75,226301,6.199999809,61.5,0.069736347
6,1988,1.720000029,5.300000191,18049.08594,63.78365707,0.086621754,1.794100046,1.615779996,21,0,0.148683995,8531.990234,0,,,5390,0.000190365,936,3.30579E-05,541,246,0.000218279,48,4.2591E-05,583,144,0.00047476,0.000117264,702,0.00039661,197,0.000111299,1246.709961,4.4032E-05,28314028,1126998,1227988.875,1770000.75,241575.0156,5.5,62.30000305,0.04902038
8,1982,2.25,7.699999809,15082.33887,64.96673584,0.214797139,2.299999952,1.823009968,21,0.113150999,0.229148,7742.841797,0,0,1,668,0.000217448,140,4.55729E-05,96,27,0.000188811,5,3.4965E-05,91,36,0.00053543,0.000211818,100,0.000406504,35,0.000142276,219.75,7.1535E-05,3071998.75,143000.1406,169956.8438,246000.0469,23786,9.699999809,57.79999924,0.012043049
8,1983,2.150000095,6.599999905,15131.88086,67.30021667,0.206422031,2.299999952,1.834619999,21,0.090821996,0.207657993,7656.062988,1,0,1,646,0.000205144,146,4.63639E-05,92,44,0.000314286,12,8.5714E-05,68,20,0.000405554,0.000119281,98,0.000403292,30,0.000123457,217.3500061,6.9021E-05,3149007.5,139999.875,167671.9688,243000.1094,24109,9.600000381,57.90000153,0.029179398
8,1984,2.150000095,5.599999905,15486.81348,68.66242218,0.197802201,2.299999952,1.846310019,21,0.075861998,0.192155004,7707.852539,1,0,1,608,0.000190596,104,3.26019E-05,73,53,0.000386861,14,0.00010219,71,14,0.000429216,8.46342E-05,101,0.000422594,28,0.000117155,202.9400024,6.3618E-05,3189993.5,137000.1094,165417.8125,239000.0781,24588,7.5,59.50000381,0.055347241
8,1985,2.049999952,5.900000095,15569.91504,67.85414886,0.190677971,2.299999952,1.858080029,21,0.074899003,0.192028001,8092.209473,1,0,1,579,0.000179201,96,2.97122E-05,63,35,0.000255474,7,5.1095E-05,58,16,0.000355405,9.80428E-05,100,0.000429185,28,0.000120172,186.7299957,5.7793E-05,3231008.75,137000.2344,163193.9531,232999.7656,26146,7.199999809,60.10000229,0.024307648
8,1986,1.809999943,7.400000095,15616.09863,64.98344421,0.185758516,2.299999952,1.869910002,21,0.074097,0.192100003,8131.374512,1,0,1,603,0.00018463,116,3.55175E-05,75,50,0.000340136,9,6.1224E-05,76,18,0.00047205,0.000111801,101,0.000457014,37,0.000167421,175.3699951,5.3696E-05,3265991.5,147000.0156,161000,220999.7969,26557,7,60.70000076,0.016526096
8,1987,1.779999971,7.699999809,15605,64.21829987,0.180000007,2.299999952,1.881829977,21,0.05807,0.192999005,8182.027832,1,0,1,591,0.000179308,90,2.73058E-05,64,42,0.000291667,7,4.8611E-05,54,16,0.00034395,0.000101911,59,0.000273148,16,7.4074E-05,140.2599945,4.2553E-05,3296004.5,143999.8281,156999.5625,216000.1094,26968,6.199999809,61.5,-0.023582309
8,1988,1.74000001,6.400000095,15845.04297,65.30445099,0.173243508,2.299999952,1.893820047,21,0.05807,0.180260003,8380.768555,1,0,1,497,0.00015056,93,2.81733E-05,66,33,0.000242647,6,4.4118E-05,44,16,0.0002953,0.000107383,69,0.000330144,23,0.000110048,132.9499969,4.0277E-05,3301009.75,136000.0313,149001.0156,208999.7188,27664.99805,5.5,62.30000305,0.008626046
9,1982,2.420000076,6.900000095,17255.36914,61.72941971,0.224343672,0.100000001,0.233309999,18.5,0.227054998,0.192840993,6440.053711,0,0,0,515,0.000164695,158,5.05277E-05,90,39,0.000229412,8,4.7059E-05,86,35,0.000529882,0.00021565,96,0.000444444,42,0.000194444,195.1100006,6.2395E-05,3126992.5,169999.8281,162300.1406,216000.2031,20138,9.699999809,57.79999924,-0.002988006
9,1983,2.460000038,6,17744.26563,62.29440689,0.23356308,0.100000001,0.251980007,19.25,0.082803003,0.189349994,6570.042969,0,0,0,438,0.00013949,118,3.75796E-05,85,29,0.000176829,11,6.7073E-05,61,28,0.000380196,0.000174516,87,0.000402778,31,0.000143519,171.2200012,5.4528E-05,3140010,164000.25,160443.4844,215999.875,20630,9.600000381,57.90000153,0.073626325
9,1984,2.410000086,4.599999905,18760.43945,65.03468323,0.248010993,0.100000001,0.272159994,20,0.080633998,0.181857005,6680.192871,0,0,0,469,0.000148653,126,3.99366E-05,85,32,0.000201258,6,3.7736E-05,65,25,0.000409815,0.000157621,81,0.000375,30,0.000138889,171.6999969,5.442E-05,3154998.75,158999.8906,158608.0781,216000,21076,7.5,59.50000381,0.077820003
9,1985,2.410000086,4.900000095,19312.5,65.91092682,0.239078403,0.100000001,0.293949991,20.32999992,0.080150999,0.178947002,6979.214844,0,1,1,448,0.000141147,103,3.24512E-05,71,35,0.000225806,1,6.452E-06,53,15,0.000338024,9.56671E-05,64,0.000296296,24,0.000111111,150.75,4.7495E-05,3173996,155000.3125,156793.6563,216000.2188,22152,7.199999809,60.10000229,0.050584491
9,1986,2.309999943,3.799999952,20152.73438,67.24276733,0.232910231,0.100000001,0.317479998,21,0.079861999,0.171669006,7661.744629,0,1,1,450,0.000140933,114,3.57031E-05,63,37,0.000243421,11,7.2368E-05,56,14,0.00036129,9.03226E-05,63,0.000315,26,0.00013,145.75,4.5648E-05,3193006.5,152000.0313,155000,200000,24464,7,60.70000076,0.063690655
9,1987,2.25,3.299999952,21192,67.63767242,0.225690007,0.100000001,0.342900008,21,0.080972001,0.166008994,8338.53418,0,1,1,449,0.000139832,102,3.17658E-05,61,31,0.000212329,3,2.0548E-05,42,11,0.00028,7.3333E-05,69,0.00035567,30,0.000154639,165.5099945,5.1543E-05,3210996,145999.8438,150000,194000.0625,26775,6.199999809,61.5,0.07573688
9,1988,2.150000095,3,22193.45508,67.06396484,0.217218488,0.100000001,0.370350003,21,0.080972001,0.157067999,8061.235352,0,1,1,484,0.000149706,93,2.87659E-05,62,40,0.000294118,7,5.1471E-05,57,17,0.0003986,0.000118881,76,0.000376238,32,0.000158416,135.4199982,4.1887E-05,3233003.25,135999.8281,143000.5,201999.7969,26062,5.5,62.30000305,0.051211424
10,1982,2.589999914,8.5,14263.72363,60.3104248,0.173031017,0.699999988,0.200000003,20,0,0.205542997,7651.653809,1,0,0,122,0.000203333,34,5.66667E-05,23,5,0.00016129,2,6.4516E-05,24,9,0.000652655,0.000244745,23,0.000479167,14,0.000291667,45.65000153,7.6087E-05,600001,31000.0625,36772.89844,47999.96484,4591,9.699999809,57.79999924,0.007968531
10,1983,2.630000114,8.100000381,14500,59.86841965,0.166284397,0.699999988,0.200000003,20,0,0.199483007,8062.699707,1,0,0,110,0.000181518,26,4.29043E-05,14,8,0.000266667,2,6.6667E-05,9,3,0.00024959,8.31966E-05,18,0.000375,7,0.000145833,33,5.4455E-05,606000.5,29999.96289,36059.16406,48000,4886,9.600000381,57.90000153,0.056711283
10,1984,2.569999933,6.199999809,14925.27441,62.41901016,0.15934065,0.699999988,0.200000003,21,0,0.193182006,8368.0625,1,0,0,130,0.000211726,28,4.56026E-05,16,8,0.000275862,0,0,15,3,0.000424217,8.48434E-05,17,0.000361702,8,0.000170213,28.68000031,4.6704E-05,614001.125,29000.00781,35359.27734,47000.01563,5138,7.5,59.50000381,0.052361224
10,1985,2.549999952,5.300000191,15408.89844,63.55932236,0.153601691,0.699999988,0.200000003,21,0,0.183341995,8625.424805,1,0,0,104,0.000167203,21,3.37621E-05,12,7,0.00025,2,7.1429E-05,10,2,0.000288409,5.76818E-05,21,0.000446809,3,6.383E-05,38.88000107,6.251E-05,621998.375,27999.99805,34672.97656,46999.94922,5365,7.199999809,60.10000229,0.037800748
10,1986,2.420000076,4.300000191,15822.49707,64.58332825,0.149638802,0.699999988,0.200000003,21,0,0.177616999,9045.817383,1,0,0,136,0.00021485,33,5.21327E-05,20,10,0.000344828,5,0.000172414,18,6,0.000529412,0.000176471,22,0.000536585,8,0.000195122,45.54999924,7.1957E-05,632999.75,28999.96484,34000,41000.02734,5726,7,60.70000076,0.039940491
10,1987,2.369999886,3.200000048,16407,65.5102005,0.144999996,0.699999988,0.200000003,21,0,0.169046998,9450.307617,1,0,0,146,0.000226708,27,4.19255E-05,16,9,0.000310345,3,0.000103448,9,1,0.00026471,2.9412E-05,24,0.000585366,10,0.000243902,41.84000015,6.4968E-05,644000.1875,28999.98438,33999.47266,40999.99219,6086,6.199999809,61.5,0.061463118
10,1988,2.319999933,3.200000048,16998.07422,67.59999847,0.139557257,0.699999988,0.200000003,21,0,0.158750996,9703.020508,1,0,0,160,0.000242424,32,4.84848E-05,18,9,0.000321429,1,3.5714E-05,19,2,0.00063333,6.6667E-05,20,0.000444444,7,0.000155556,42.84000015,6.4913E-05,660000.6875,27999.96289,30000.15625,45000.04297,6404,5.5,62.30000305,0.071447544
12,1982,2.50999999,8.199999809,13502.38672,53.4878006,1.073985696,9.152600288,0.400000006,19,0,0.181475997,7587.129883,1,0,1,2653,0.000253197,587,5.60221E-05,282,148,0.000310273,35,7.3375E-05,259,86,0.000526307,0.000174758,350,0.000508721,123,0.000178779,810.7600098,7.7377E-05,10478007,476999.2813,492108.4063,687999.9375,79498,9.699999809,57.79999924,0.005385397
12,1983,2.460000038,8.600000381,13924.31152,53.72707748,1.170412779,8.936699867,0.400000006,19,0,0.177945003,7604.254395,1,0,1,2686,0.000249768,562,5.22596E-05,291,132,0.000282655,30,6.424E-05,274,92,0.000551031,0.000185018,317,0.000452211,110,0.000156919,963.9000244,8.9632E-05,10753980,467000.4063,497250.1563,701000.1875,81776,9.600000381,57.90000153,0.077084795
12,1984,2.349999905,6.300000191,14307.69238,55.6210289,1.186813235,8.725999832,0.400000006,19,0,0.178719997,7735.304688,1,0,1,2814,0.000254661,566,5.12217E-05,311,150,0.000326797,29,6.3181E-05,270,88,0.000537372,0.000175143,344,0.000482468,129,0.000180926,744.3800049,6.7365E-05,11049985,459000.5625,502445.6563,713000.6875,85475,7.5,59.50000381,0.08084242
12,1985,2.269999981,6,14760.59277,56.36853409,1.144067883,8.520199776,0.400000006,20,0,0.170072004,7747.311035,1,0,1,2832,0.000249164,490,4.3111E-05,254,146,0.000319475,24,5.2516E-05,239,79,0.000470755,0.000155605,341,0.00047427,101,0.000140473,690.2000122,6.0725E-05,11366008,456999.7813,507695.375,718999.75,88056,7.199999809,60.10000229,0.059289411
12,1986,2.24000001,5.699999809,15102.16699,57.44054413,1.114551187,8.319299698,0.400000006,21,0,0.162554994,7768.755859,1,0,1,2830,0.000242004,530,4.53224E-05,296,173,0.000364211,39,8.2105E-05,263,92,0.000512671,0.000179337,347,0.000517139,94,0.000140089,806.8400269,6.8996E-05,11694022,474999.375,513000,670999.5,90848,7,60.70000076,0.053569589
12,1987,2.170000076,5.300000191,15584,58.94334793,1.080000043,8.123100281,0.400000006,21,0,0.161257997,7788.330566,1,0,1,2839,0.000236131,493,4.10047E-05,262,166,0.000343685,32,6.6253E-05,227,75,0.0004425,0.000146199,326,0.000486567,94,0.000140299,778.9699707,6.479E-05,12022987,483000.4063,512994.3438,670000.25,93639,6.199999809,61.5,0.062531143
12,1988,2.079999924,5,15979.78809,59.7909317,1.039461017,7.931600094,0.400000006,21,0,0.157563001,8538.230469,1,0,1,3078,0.000249534,573,4.64532E-05,315,184,0.000385744,42,8.805E-05,278,73,0.00056504,0.000148374,382,0.000546495,145,0.000207439,794.75,6.443E-05,12334992,477000.2813,492000.5938,698999.9375,105319.0078,5.5,62.30000305,0.050752144
13,1982,1.940000057,7.800000191,11774.46289,60.07344055,2.720763683,24.65609932,0.42640999,19,0.498939991,0.210263997,8623.444336,0,0,0,1229,0.000217484,225,3.9816E-05,132,90,0.000296053,16,5.2632E-05,131,41,0.000404501,0.0001266,161,0.000382423,59,0.000140143,443.230011,7.8434E-05,5650990.5,303999.625,323855.625,420999.7813,48731.00391,9.699999809,57.79999924,0.006098161
13,1983,1.99000001,7.5,12237.38574,59.85541916,2.61467886,24.38850021,0.440259993,19,0.499909997,0.206981003,8518.589844,0,0,0,1296,0.00022606,217,3.7851E-05,134,97,0.000326599,19,6.3973E-05,141,45,0.000434995,0.000138828,160,0.000374707,41,9.6019E-05,389.5,6.794E-05,5732991,297000.3125,324141.3438,427000.3125,48837,9.600000381,57.90000153,0.079037391
13,1984,1.970000029,6,12957.14258,61.21197891,2.505494356,24.12389946,0.454560012,19,0.450190008,0.205331996,8641.914063,0,0,0,1410,0.000241356,252,4.31359E-05,146,124,0.000423208,31,0.000105802,167,47,0.000514753,0.000144871,168,0.000387991,48,0.000110855,436.75,7.4761E-05,5841993,293000.125,324427.3125,432999.75,50486,7.5,59.50000381,0.102004938
13,1985,1.929999948,6.5,13364.40723,61.65137863,2.415254116,23.8621006,0.469319999,19.25,0.433169991,0.194928005,8988.107422,0,0,0,1361,0.000227744,198,3.31325E-05,124,95,0.000323129,16,5.4422E-05,151,37,0.000465025,0.000113947,163,0.000371298,38,8.656E-05,400.1300049,6.6956E-05,5976008,294000.2188,324713.5313,439000.4688,53713,7.199999809,60.10000229,0.052405592
13,1986,1.769999981,5.900000095,13891.64063,63.30336761,2.352941036,23.60320091,0.484569997,20.25,0.424589992,0.188868999,9344.767578,0,0,0,1530,0.00025082,263,4.31148E-05,165,119,0.000382637,22,7.074E-05,153,41,0.000470769,0.000126154,183,0.000444175,49,0.000118932,463.1300049,7.5923E-05,6099991.5,310999.7188,325000,411999.7813,57003.00391,7,60.70000076,0.065295093
13,1987,1.75,5.5,14306,63.32088852,2.279999971,23.3470993,0.50029999,21,0.207279995,0.184329003,9690.28125,0,0,0,1599,0.000256991,264,4.24301E-05,164,113,0.00035873,13,4.127E-05,134,29,0.00041358,8.9506E-05,190,0.000462287,49,0.000119221,470.4299927,7.5607E-05,6222007.5,315000.125,324000.1875,411000.0938,60293.00391,6.199999809,61.5,0.06480597
13,1988,1.720000029,5.800000191,14687.19922,64.0638504,2.194417715,23.09379959,0.516560018,21,0.207279995,0.174882993,9817.395508,0,0,0,1653,0.000260643,272,4.28887E-05,171,125,0.000400641,15,4.8077E-05,171,49,0.000557,0.000159609,170,0.0004,49,0.000115294,484.8800049,7.6455E-05,6342008,312000.0313,307001.8125,425000,62262,5.5,62.30000305,0.044321559
16,1982,1.389999986,9.800000191,11078.75879,58.8235321,0.402744651,1.023689985,25.15749931,19,0,0.233786002,8033.751953,0,0,0,256,0.000261759,47,4.80573E-05,24,29,0.000604167,4,8.3333E-05,38,10,0.000727301,0.000191395,32,0.000463768,13,0.000188406,76.79000092,7.8521E-05,977998.8125,47999.97266,52247.95703,69000.01563,7857,9.699999809,57.79999924,-0.05412031
16,1983,1.299999952,9.800000191,11346.33008,59.85507202,0.387041301,1.035740018,24.98789978,19,0,0.228551,8387.641602,0,0,0,263,0.000266194,44,4.45344E-05,31,15,0.000319149,4,8.5106E-05,38,12,0.000735342,0.000232213,36,0.000521739,6,8.6957E-05,88.27999878,8.9348E-05,988001.25,46999.99219,51676.66406,69000.01563,8287,9.600000381,57.90000153,0.045208
16,1984,1.279999971,7.199999809,11386.81348,61.3733902,0.370879114,1.047940016,24.81959915,19,0,0.218235999,7775.768066,0,0,0,242,0.000242242,34,3.4034E-05,22,24,0.000510638,2,4.2553E-05,26,8,0.000508691,0.00015652,33,0.000485294,7,0.000102941,79.66000366,7.9735E-05,999001,47000.02734,51111.61719,68000.01563,7768,7.5,59.50000381,0.03872868
16,1985,1.179999948,7.900000095,11459.74609,61.28571701,0.357521206,1.060279965,24.65229988,19,0,0.212605998,7671.631836,0,0,0,255,0.000253731,53,5.27363E-05,34,17,0.000361702,7,0.000148936,38,13,0.00075169,0.000257157,27,0.000415385,9,0.000138462,73.65000153,7.3284E-05,1005001.313,47000.01563,50552.75391,64999.94141,7710,7.199999809,60.10000229,0.021042932
16,1986,1.120000005,8.699999809,11541.7959,61.10325623,0.348297209,1.07277,24.48620033,19,0,0.207312003,7899.200684,0,0,0,258,0.000257485,48,4.79042E-05,35,33,0.000673469,5,0.000102041,31,10,0.00062,0.0002,32,0.000507937,9,0.000142857,84.01999664,8.3857E-05,1002000.125,49000.03125,50000,62999.94141,7915,7,60.70000076,-0.015105814
16,1987,1.059999943,8,11859,61.18143082,0.337500006,1.085399985,24.32119942,20.5,0,0.202262998,8135.268555,0,0,0,262,0.000262525,53,5.31062E-05,39,22,0.00044898,5,0.000102041,34,11,0.00070833,0.000229167,34,0.000557377,11,0.000180328,78.18000031,7.8338E-05,998000.25,48999.95703,48000.22656,61000.00391,8119,6.199999809,61.5,0.000564253
